REGION,EMISSION,YEAR,VALUE
RE1,EMIC02,2022,0.0
RE1,EMIC02,2023,0.0
RE1,EMIC02,2024,0.0
RE1,EMIC02,2025,0.0
RE1,EMIC02,2026,0.0
RE1,EMIC02,2027,0.0
RE1,EMIC02,2028,0.0
RE1,EMIC02,2029,0.0
RE1,EMIC02,2030,0.0
RE1,EMIC02,2031,0.0
RE1,EMIC02,2032,0.0
RE1,EMIC02,2033,0.0
RE1,EMIC02,2034,0.0
RE1,EMIC02,2035,0.0
RE1,EMIC02,2036,0.0
RE1,EMIC02,2037,0.0
RE1,EMIC02,2038,0.0
RE1,EMIC02,2039,0.0
RE1,EMIC02,2040,0.0
RE1,EMIC02,2041,0.0
RE1,EMIC02,2042,0.0
RE1,EMIC02,2043,0.0
RE1,EMIC02,2044,0.0
RE1,EMIC02,2045,0.0
RE1,EMIC02,2046,0.0
RE1,EMIC02,2047,0.0
RE1,EMIC02,2048,0.0
RE1,EMIC02,2049,0.0
RE1,EMIC02,2050,0.0
RE1,EMIC02,2051,0.0
RE1,EMIC02,2052,0.0
RE1,EMIC02,2053,0.0
RE1,EMIC02,2054,0.0
RE1,EMICH4,2022,0.0
RE1,EMICH4,2023,0.0
RE1,EMICH4,2024,0.0
RE1,EMICH4,2025,0.0
RE1,EMICH4,2026,0.0
RE1,EMICH4,2027,0.0
RE1,EMICH4,2028,0.0
RE1,EMICH4,2029,0.0
RE1,EMICH4,2030,0.0
RE1,EMICH4,2031,0.0
RE1,EMICH4,2032,0.0
RE1,EMICH4,2033,0.0
RE1,EMICH4,2034,0.0
RE1,EMICH4,2035,0.0
RE1,EMICH4,2036,0.0
RE1,EMICH4,2037,0.0
RE1,EMICH4,2038,0.0
RE1,EMICH4,2039,0.0
RE1,EMICH4,2040,0.0
RE1,EMICH4,2041,0.0
RE1,EMICH4,2042,0.0
RE1,EMICH4,2043,0.0
RE1,EMICH4,2044,0.0
RE1,EMICH4,2045,0.0
RE1,EMICH4,2046,0.0
RE1,EMICH4,2047,0.0
RE1,EMICH4,2048,0.0
RE1,EMICH4,2049,0.0
RE1,EMICH4,2050,0.0
RE1,EMICH4,2051,0.0
RE1,EMICH4,2052,0.0
RE1,EMICH4,2053,0.0
RE1,EMICH4,2054,0.0
RE1,EMIN2O,2022,0.0
RE1,EMIN2O,2023,0.0
RE1,EMIN2O,2024,0.0
RE1,EMIN2O,2025,0.0
RE1,EMIN2O,2026,0.0
RE1,EMIN2O,2027,0.0
RE1,EMIN2O,2028,0.0
RE1,EMIN2O,2029,0.0
RE1,EMIN2O,2030,0.0
RE1,EMIN2O,2031,0.0
RE1,EMIN2O,2032,0.0
RE1,EMIN2O,2033,0.0
RE1,EMIN2O,2034,0.0
RE1,EMIN2O,2035,0.0
RE1,EMIN2O,2036,0.0
RE1,EMIN2O,2037,0.0
RE1,EMIN2O,2038,0.0
RE1,EMIN2O,2039,0.0
RE1,EMIN2O,2040,0.0
RE1,EMIN2O,2041,0.0
RE1,EMIN2O,2042,0.0
RE1,EMIN2O,2043,0.0
RE1,EMIN2O,2044,0.0
RE1,EMIN2O,2045,0.0
RE1,EMIN2O,2046,0.0
RE1,EMIN2O,2047,0.0
RE1,EMIN2O,2048,0.0
RE1,EMIN2O,2049,0.0
RE1,EMIN2O,2050,0.0
RE1,EMIN2O,2051,0.0
RE1,EMIN2O,2052,0.0
RE1,EMIN2O,2053,0.0
RE1,EMIN2O,2054,0.0
