REGION,TECHNOLOGY,VALUE
RE1,DEMINDBAGBOI_HIG,1.0
RE1,DEMINDBAGBOI_LOW,1.0
RE1,DEMINDBAGBOI_MID,1.0
RE1,DEMINDBAGFUR_HIG,1.0
RE1,DEMINDBAGFUR_LOW,1.0
RE1,DEMINDBAGFUR_MID,1.0
RE1,DEMINDBAGFURCCS,1.0
RE1,MINCOA,1.0
RE1,MINOIL,1.0
RE1,MINNGS,1.0
RE1,MINBAG,1.0
RE1,MINSGC,1.0
RE1,MINOPL,1.0
RE1,MINWOO,1.0
RE1,MINAFR,1.0
RE1,MINWAS,1.0
RE1,MINDAM,1.0
RE1,MINROR,1.0
RE1,MINGEO,1.0
RE1,IMPURN,1.0
RE1,MINSOL,1.0
RE1,MINCSP,1.0
RE1,MINONW,1.0
RE1,MINOFW,1.0
RE1,IMPOIL,1.0
RE1,IMPLNG,1.0
RE1,IMPLPG,1.0
RE1,IMPDSL,1.0
RE1,IMPGSL,1.0
RE1,IMPJET,1.0
RE1,IMPFOL,1.0
RE1,PWRCOA,1.0
RE1,PWRCOACCS,1.0
RE1,PWRNGS_CS,1.0
RE1,PWRNGSCCS,1.0
RE1,PWRAFR,1.0
RE1,PWRBGS,1.0
RE1,PWRHYDDAM,1.0
RE1,PWRHYDROR,1.0
RE1,PWRGEO,1.0
RE1,PWRNUC,1.0
RE1,PWRSOLUPE,1.0
RE1,PWRCSP,1.0
RE1,PWRWNDONS,1.0
RE1,PWRWNDOFS_FIX,1.0
RE1,PWRWNDOFS_FLO,1.0
RE1,UPSREF_BAR,1.0
RE1,UPSALK,1.0
RE1,UPSPEM,1.0
RE1,UPSBGS,1.0
RE1,MINLPG,1.0
RE1,UPSBDL,1.0
RE1,UPSSMR,1.0
RE1,UPSSMRCCS,1.0
RE1,UPSREG,1.0
RE1,UPSBGB,1.0
RE1,UPSBDB,1.0
RE1,PWRSOLRTP,1.0
RE1,PWRSOLRTP_ZNI,1.0
RE1,PWRSTD,1.0
RE1,PWRWAS,1.0
RE1,GRDTYDELC,1.0
RE1,UPSEVC,1.0
RE1,UPSHDGRST,1.0
RE1,GRDNGSDST,1.0
RE1,GRDLPGDST,1.0
RE1,GRDCOADST,1.0
RE1,BBGDST,1.0
RE1,DEMRESWOOCKN_LOW,1.0
RE1,DEMRESNGSCKN_MID,1.0
RE1,DEMRESELCCKN_LOW,1.0
RE1,DEMRESLPGCKN_LOW,1.0
RE1,DEMRESNGSWHT_LOW,1.0
RE1,DEMRESELCWHT_PAS_HIG,1.0
RE1,DEMRESELCREF_LOW,1.0
RE1,DEMRESELCREF_HIG,1.0
RE1,DEMRESELCILU_LOW,1.0
RE1,DEMRESELCILU_HIG,1.0
RE1,DEMRESELCAIR_SPL_LOW,1.0
RE1,DEMRESELCAIR_PAR_LOW,1.0
RE1,DEMRESELCTV_LOW,1.0
RE1,DEMRESELCTV_MID,1.0
RE1,DEMRESELCWSH_LOW,1.0
RE1,DEMRESELCWSH_HIG,1.0
RE1,DEMRESELCFAN_LOW,1.0
RE1,DEMRESELCFAN_HIG,1.0
RE1,DEMRESELCOTH_LOW,1.0
RE1,DEMTRAGSLLDV,1.0
RE1,DEMTRADSLLDV,1.0
RE1,DEMTRANGSLDV,1.0
RE1,DEMTRAELCLDV,1.0
RE1,DEMTRAPHEVLDV,1.0
RE1,DEMTRAHDGLDV,1.0
RE1,DEMTRAGSLFWD,1.0
RE1,DEMTRADSLFWD,1.0
RE1,DEMTRANGSFWD,1.0
RE1,DEMTRAELCFWD,1.0
RE1,DEMTRAPHEVFWD,1.0
