REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2022,0.0010480858909041593
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2023,0.0010472116841051034
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2024,0.0010459521697663776
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2025,0.0010441526682961693
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2026,0.0010416122206729048
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2027,0.0010380856083586113
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2028,0.0010333027270521726
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2029,0.0010270169549073606
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2030,0.0010190890416234845
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2031,0.0010095930384889527
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2032,0.000998897462490557
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2033,0.0009876543209876541
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2034,0.0009766614579714387
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2035,0.0009666487930324976
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2036,0.0009581008365445733
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2037,0.0009511976259387419
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2038,0.0009458685124259756
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2039,0.0009418960244648319
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2040,0.0009390113799423705
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2041,0.0009369562922239596
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2042,0.0009355120332053522
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2043,0.0009345067495253029
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2044,0.0009338116858811972
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2045,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2046,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2047,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2048,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2049,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2050,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2051,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2052,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2053,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMICH4,1.0,2054,0.0009333333333333334
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2022,0.0013225845766171532
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2023,0.0013214814108945352
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2024,0.0013198920237528096
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2025,0.0013176212242784991
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2026,0.001314415421325332
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2027,0.0013099651724525333
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2028,0.001303929631756313
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2029,0.0012959975859545263
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2030,0.0012859933144296351
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2031,0.001274010262855107
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2032,0.001260513464571417
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2033,0.0012463256907701348
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2034,0.0012324537445830058
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2035,0.0012198187150171992
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2036,0.0012090320080205329
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2037,0.0012003208136846027
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2038,0.001193595979966112
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2039,0.0011885830784913354
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2040,0.0011849429318320389
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2041,0.001182349606854044
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2042,0.0011805270895210397
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2043,0.0011792585172581203
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2044,0.0011783814131357962
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2045,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2046,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2047,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2048,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2049,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2050,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2051,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2052,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2053,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIN2O,1.0,2054,0.0011777777777777778
RE1,DEMINDBAGBOI_HIG,EMIC02,1.0,2022,0.0
RE1,DEMINDBAGBOI_HIG,EMIC02,1.0,2023,0.0
RE1,DEMINDBAGBOI_HIG,EMIC02,1.0,2024,0.0
RE1,DEMINDBAGBOI_HIG,EMIC02,1.0,2025,0.0
RE1,DEMINDBAGBOI_HIG,EMIC02,1.0,2026,0.0
RE1,DEMINDBAGBOI_HIG,EMIC02,1.0,2027,0.0
RE1,DEMINDBAGBOI_HIG,EMIC02,1.0,2028,0.0
RE1,DEMINDBAGBOI_HIG,EMIC02,1.0,2029,0.0
RE1,DEMINDBAGBOI_HIG,EMIC02,1.0,2030,0.0
