REGION,TECHNOLOGY,YEAR,VALUE
RE1,BACKSTOP 1,2022,9999999999.0
RE1,BACKSTOP 1,2023,9999999999.0
RE1,BACKSTOP 1,2024,9999999999.0
RE1,BACKSTOP 1,2025,9999999999.0
RE1,BACKSTOP 1,2026,9999999999.0
RE1,BACKSTOP 1,2027,9999999999.0
RE1,BACKSTOP 1,2028,9999999999.0
RE1,BACKSTOP 1,2029,9999999999.0
RE1,BACKSTOP 1,2030,9999999999.0
RE1,BACKSTOP 1,2031,9999999999.0
RE1,BACKSTOP 1,2032,9999999999.0
RE1,BACKSTOP 1,2033,9999999999.0
RE1,BACKSTOP 1,2034,9999999999.0
RE1,BACKSTOP 1,2035,9999999999.0
RE1,BACKSTOP 1,2036,9999999999.0
RE1,BACKSTOP 1,2037,9999999999.0
RE1,BACKSTOP 1,2038,9999999999.0
RE1,BACKSTOP 1,2039,9999999999.0
RE1,BACKSTOP 1,2040,9999999999.0
RE1,BACKSTOP 1,2041,9999999999.0
RE1,BACKSTOP 1,2042,9999999999.0
RE1,BACKSTOP 1,2043,9999999999.0
RE1,BACKSTOP 1,2044,9999999999.0
RE1,BACKSTOP 1,2045,9999999999.0
RE1,BACKSTOP 1,2046,9999999999.0
RE1,BACKSTOP 1,2047,9999999999.0
RE1,BACKSTOP 1,2048,9999999999.0
RE1,BACKSTOP 1,2049,9999999999.0
RE1,BACKSTOP 1,2050,9999999999.0
RE1,BACKSTOP 1,2051,9999999999.0
RE1,BACKSTOP 1,2052,9999999999.0
RE1,BACKSTOP 1,2053,9999999999.0
RE1,BACKSTOP 1,2054,9999999999.0
RE1,BACKSTOP 2,2022,9999999999.0
RE1,BACKSTOP 2,2023,9999999999.0
RE1,BACKSTOP 2,2024,9999999999.0
RE1,BACKSTOP 2,2025,9999999999.0
RE1,BACKSTOP 2,2026,9999999999.0
RE1,BACKSTOP 2,2027,9999999999.0
RE1,BACKSTOP 2,2028,9999999999.0
RE1,BACKSTOP 2,2029,9999999999.0
RE1,BACKSTOP 2,2030,9999999999.0
RE1,BACKSTOP 2,2031,9999999999.0
RE1,BACKSTOP 2,2032,9999999999.0
RE1,BACKSTOP 2,2033,9999999999.0
RE1,BACKSTOP 2,2034,9999999999.0
RE1,BACKSTOP 2,2035,9999999999.0
RE1,BACKSTOP 2,2036,9999999999.0
RE1,BACKSTOP 2,2037,9999999999.0
RE1,BACKSTOP 2,2038,9999999999.0
RE1,BACKSTOP 2,2039,9999999999.0
RE1,BACKSTOP 2,2040,9999999999.0
RE1,BACKSTOP 2,2041,9999999999.0
RE1,BACKSTOP 2,2042,9999999999.0
RE1,BACKSTOP 2,2043,9999999999.0
RE1,BACKSTOP 2,2044,9999999999.0
RE1,BACKSTOP 2,2045,9999999999.0
RE1,BACKSTOP 2,2046,9999999999.0
RE1,BACKSTOP 2,2047,9999999999.0
RE1,BACKSTOP 2,2048,9999999999.0
RE1,BACKSTOP 2,2049,9999999999.0
RE1,BACKSTOP 2,2050,9999999999.0
RE1,BACKSTOP 2,2051,9999999999.0
RE1,BACKSTOP 2,2052,9999999999.0
RE1,BACKSTOP 2,2053,9999999999.0
RE1,BACKSTOP 2,2054,9999999999.0
RE1,BBGDST,2022,6.0
RE1,BBGDST,2023,6.0
RE1,BBGDST,2024,6.0
RE1,BBGDST,2025,6.0
RE1,BBGDST,2026,6.0
RE1,BBGDST,2027,6.0
RE1,BBGDST,2028,6.0
RE1,BBGDST,2029,6.0
RE1,BBGDST,2030,6.0
RE1,BBGDST,2031,6.0
RE1,BBGDST,2032,6.0
RE1,BBGDST,2033,6.0
RE1,BBGDST,2034,6.0
RE1,BBGDST,2035,6.0
RE1,BBGDST,2036,6.0
RE1,BBGDST,2037,6.0
RE1,BBGDST,2038,6.0
RE1,BBGDST,2039,6.0
RE1,BBGDST,2040,6.0
RE1,BBGDST,2041,6.0
RE1,BBGDST,2042,6.0
RE1,BBGDST,2043,6.0
RE1,BBGDST,2044,6.0
RE1,BBGDST,2045,6.0
RE1,BBGDST,2046,6.0
RE1,BBGDST,2047,6.0
RE1,BBGDST,2048,6.0
