REGION,TECHNOLOGY,YEAR,VALUE
RE1,DEMINDBAGBOI_HIG,2022,0.0
RE1,DEMINDBAGBOI_HIG,2023,0.0
RE1,DEMINDBAGBOI_HIG,2024,0.0
RE1,DEMINDBAGBOI_HIG,2025,0.0
RE1,DEMINDBAGBOI_HIG,2026,0.0
RE1,DEMINDBAGBOI_HIG,2027,0.0
RE1,DEMINDBAGBOI_HIG,2028,0.0
RE1,DEMINDBAGBOI_HIG,2029,0.0
RE1,DEMINDBAGBOI_HIG,2030,0.0
RE1,DEMINDBAGBOI_HIG,2031,0.0
RE1,DEMINDBAGBOI_HIG,2032,0.0
RE1,DEMINDBAGBOI_HIG,2033,0.0
RE1,DEMINDBAGBOI_HIG,2034,0.0
RE1,DEMINDBAGBOI_HIG,2035,0.0
RE1,DEMINDBAGBOI_HIG,2036,0.0
RE1,DEMINDBAGBOI_HIG,2037,0.0
RE1,DEMINDBAGBOI_HIG,2038,0.0
RE1,DEMINDBAGBOI_HIG,2039,0.0
RE1,DEMINDBAGBOI_HIG,2040,0.0
RE1,DEMINDBAGBOI_HIG,2041,0.0
RE1,DEMINDBAGBOI_HIG,2042,0.0
RE1,DEMINDBAGBOI_HIG,2043,0.0
RE1,DEMINDBAGBOI_HIG,2044,0.0
RE1,DEMINDBAGBOI_HIG,2045,0.0
RE1,DEMINDBAGBOI_HIG,2046,0.0
RE1,DEMINDBAGBOI_HIG,2047,0.0
RE1,DEMINDBAGBOI_HIG,2048,0.0
RE1,DEMINDBAGBOI_HIG,2049,0.0
RE1,DEMINDBAGBOI_HIG,2050,0.0
RE1,DEMINDBAGBOI_HIG,2051,0.0
RE1,DEMINDBAGBOI_HIG,2052,0.0
RE1,DEMINDBAGBOI_HIG,2053,0.0
RE1,DEMINDBAGBOI_HIG,2054,0.0
RE1,DEMINDBAGBOI_LOW,2022,48.0038317000917
RE1,DEMINDBAGBOI_LOW,2023,48.51257743930967
RE1,DEMINDBAGBOI_LOW,2024,48.10850172989749
RE1,DEMINDBAGBOI_LOW,2025,48.10345745233654
RE1,DEMINDBAGBOI_LOW,2026,48.09310947223649
RE1,DEMINDBAGBOI_LOW,2027,48.07020998601077
RE1,DEMINDBAGBOI_LOW,2028,48.02577643508494
RE1,DEMINDBAGBOI_LOW,2029,47.9473469090331
RE1,DEMINDBAGBOI_LOW,2030,47.818485708238185
RE1,DEMINDBAGBOI_LOW,2031,47.61838435584198
RE1,DEMINDBAGBOI_LOW,2032,47.32162079095426
RE1,DEMINDBAGBOI_LOW,2033,46.8981634498828
RE1,DEMINDBAGBOI_LOW,2034,46.3137322242776
RE1,DEMINDBAGBOI_LOW,2035,45.530650432007
RE1,DEMINDBAGBOI_LOW,2036,44.5093336727787
RE1,DEMINDBAGBOI_LOW,2037,43.2105522398836
RE1,DEMINDBAGBOI_LOW,2038,41.598560189311584
RE1,DEMINDBAGBOI_LOW,2039,39.64509168749519
RE1,DEMINDBAGBOI_LOW,2040,37.334072257189085
RE1,DEMINDBAGBOI_LOW,2041,34.666677141587414
RE1,DEMINDBAGBOI_LOW,2042,31.6661083028182
RE1,DEMINDBAGBOI_LOW,2043,28.38120118344817
RE1,DEMINDBAGBOI_LOW,2044,24.887791684306265
RE1,DEMINDBAGBOI_LOW,2045,21.286779835739907
RE1,DEMINDBAGBOI_LOW,2046,17.698128731990057
RE1,DEMINDBAGBOI_LOW,2047,14.25069974233596
RE1,DEMINDBAGBOI_LOW,2048,11.06880549094171
RE1,DEMINDBAGBOI_LOW,2049,8.257461612223441
RE1,DEMINDBAGBOI_LOW,2050,5.889182862601795
RE1,DEMINDBAGBOI_LOW,2051,3.995380875152315
RE1,DEMINDBAGBOI_LOW,2052,2.564680348103172
RE1,DEMINDBAGBOI_LOW,2053,1.548807183806744
RE1,DEMINDBAGBOI_LOW,2054,0.8745854025560399
RE1,DEMINDBAGBOI_MID,2022,1.691246213514659
RE1,DEMINDBAGBOI_MID,2023,1.836402396075084
RE1,DEMINDBAGBOI_MID,2024,2.4733402690334403
RE1,DEMINDBAGBOI_MID,2025,2.473080934105703
RE1,DEMINDBAGBOI_MID,2026,2.4725489267688645
RE1,DEMINDBAGBOI_MID,2027,2.471371625057407
RE1,DEMINDBAGBOI_MID,2028,2.469087220287996
RE1,DEMINDBAGBOI_MID,2029,2.465055024354015
RE1,DEMINDBAGBOI_MID,2030,2.458430049857168
RE1,DEMINDBAGBOI_MID,2031,2.448142497450148
RE1,DEMINDBAGBOI_MID,2032,2.432885375548083
RE1,DEMINDBAGBOI_MID,2033,2.4111147101515558
RE1,DEMINDBAGBOI_MID,2034,2.381068102321497
RE1,DEMINDBAGBOI_MID,2035,2.340808529457558
RE1,DEMINDBAGBOI_MID,2036,2.288300889909344
RE1,DEMINDBAGBOI_MID,2037,2.22152831742958
RE1,DEMINDBAGBOI_MID,2038,2.138653051963481
RE1,DEMINDBAGBOI_MID,2039,2.0382218987141525
RE1,DEMINDBAGBOI_MID,2040,1.9194084413425925
RE1,DEMINDBAGBOI_MID,2041,1.7822731011093562
RE1,DEMINDBAGBOI_MID,2042,1.62800873052883
RE1,DEMINDBAGBOI_MID,2043,1.4591260431404722
RE1,DEMINDBAGBOI_MID,2044,1.2795238921742542
RE1,DEMINDBAGBOI_MID,2045,1.0943897205816544
RE1,DEMINDBAGBOI_MID,2046,0.9098910359988468
RE1,DEMINDBAGBOI_MID,2047,0.7326528215847454
RE1,DEMINDBAGBOI_MID,2048,0.5690662017401997
RE1,DEMINDBAGBOI_MID,2049,0.4245302096535183
RE1,DEMINDBAGBOI_MID,2050,0.3027729528463468
RE1,DEMINDBAGBOI_MID,2051,0.2054093570429998
RE1,DEMINDBAGBOI_MID,2052,0.1318545985442767
RE1,DEMINDBAGBOI_MID,2053,0.0796268235120873
RE1,DEMINDBAGBOI_MID,2054,0.0449639298059113
RE1,DEMINDBAGFUR_HIG,2022,0.0
RE1,DEMINDBAGFUR_HIG,2023,0.0
RE1,DEMINDBAGFUR_HIG,2024,0.0
RE1,DEMINDBAGFUR_HIG,2025,0.0
RE1,DEMINDBAGFUR_HIG,2026,0.0
RE1,DEMINDBAGFUR_HIG,2027,0.0
RE1,DEMINDBAGFUR_HIG,2028,0.0
RE1,DEMINDBAGFUR_HIG,2029,0.0
RE1,DEMINDBAGFUR_HIG,2030,0.0
RE1,DEMINDBAGFUR_HIG,2031,0.0
RE1,DEMINDBAGFUR_HIG,2032,0.0
RE1,DEMINDBAGFUR_HIG,2033,0.0
RE1,DEMINDBAGFUR_HIG,2034,0.0
RE1,DEMINDBAGFUR_HIG,2035,0.0
RE1,DEMINDBAGFUR_HIG,2036,0.0
RE1,DEMINDBAGFUR_HIG,2037,0.0
RE1,DEMINDBAGFUR_HIG,2038,0.0
RE1,DEMINDBAGFUR_HIG,2039,0.0
RE1,DEMINDBAGFUR_HIG,2040,0.0
RE1,DEMINDBAGFUR_HIG,2041,0.0
RE1,DEMINDBAGFUR_HIG,2042,0.0
RE1,DEMINDBAGFUR_HIG,2043,0.0
RE1,DEMINDBAGFUR_HIG,2044,0.0
RE1,DEMINDBAGFUR_HIG,2045,0.0
RE1,DEMINDBAGFUR_HIG,2046,0.0
RE1,DEMINDBAGFUR_HIG,2047,0.0
RE1,DEMINDBAGFUR_HIG,2048,0.0
RE1,DEMINDBAGFUR_HIG,2049,0.0
RE1,DEMINDBAGFUR_HIG,2050,0.0
RE1,DEMINDBAGFUR_HIG,2051,0.0
RE1,DEMINDBAGFUR_HIG,2052,0.0
RE1,DEMINDBAGFUR_HIG,2053,0.0
RE1,DEMINDBAGFUR_HIG,2054,0.0
RE1,DEMINDBAGFUR_LOW,2022,2.233751444575073
RE1,DEMINDBAGFUR_LOW,2023,2.257424795006752
RE1,DEMINDBAGFUR_LOW,2024,2.238622031401208
RE1,DEMINDBAGFUR_LOW,2025,2.238387307174213
RE1,DEMINDBAGFUR_LOW,2026,2.2379057869563828
RE1,DEMINDBAGFUR_LOW,2027,2.2368402103424927
RE1,DEMINDBAGFUR_LOW,2028,2.234772593965778
RE1,DEMINDBAGFUR_LOW,2029,2.2311230505666138
RE1,DEMINDBAGFUR_LOW,2030,2.2251267814516056
RE1,DEMINDBAGFUR_LOW,2031,2.2158155104728854
RE1,DEMINDBAGFUR_LOW,2032,2.202006278620172
RE1,DEMINDBAGFUR_LOW,2033,2.182301633931725
RE1,DEMINDBAGFUR_LOW,2034,2.1551064278780405
RE1,DEMINDBAGFUR_LOW,2035,2.118667459929956
RE1,DEMINDBAGFUR_LOW,2036,2.071142758140565
RE1,DEMINDBAGFUR_LOW,2037,2.010706855439257
RE1,DEMINDBAGFUR_LOW,2038,1.935696393897249
RE1,DEMINDBAGFUR_LOW,2039,1.8447960858733805
RE1,DEMINDBAGFUR_LOW,2040,1.7372579413531903
RE1,DEMINDBAGFUR_LOW,2041,1.613136647662455
RE1,DEMINDBAGFUR_LOW,2042,1.4735118564578211
RE1,DEMINDBAGFUR_LOW,2043,1.320656016344255
RE1,DEMINDBAGFUR_LOW,2044,1.158097982144964
RE1,DEMINDBAGFUR_LOW,2045,0.9905329121538596
RE1,DEMINDBAGFUR_LOW,2046,0.8235430219059555
RE1,DEMINDBAGFUR_LOW,2047,0.6631245883563038
RE1,DEMINDBAGFUR_LOW,2048,0.5150622227321977
RE1,DEMINDBAGFUR_LOW,2049,0.3842425938009465
RE1,DEMINDBAGFUR_LOW,2050,0.2740400143240732
RE1,DEMINDBAGFUR_LOW,2051,0.1859161547198338
RE1,DEMINDBAGFUR_LOW,2052,0.1193416906433704
RE1,DEMINDBAGFUR_LOW,2053,0.0720702944258918
RE1,DEMINDBAGFUR_LOW,2054,0.0406968847522248
RE1,DEMINDBAGFUR_MID,2022,0.0153926667688105
RE1,DEMINDBAGFUR_MID,2023,0.0213171008180722
RE1,DEMINDBAGFUR_MID,2024,0.0506617281063313
RE1,DEMINDBAGFUR_MID,2025,0.0506564161176162
RE1,DEMINDBAGFUR_MID,2026,0.0506455189469411
RE1,DEMINDBAGFUR_MID,2027,0.0506214041334834
RE1,DEMINDBAGFUR_MID,2028,0.0505746123940848
RE1,DEMINDBAGFUR_MID,2029,0.0504920204367078
RE1,DEMINDBAGFUR_MID,2030,0.050356320282195
RE1,DEMINDBAGFUR_MID,2031,0.0501455991010258
RE1,DEMINDBAGFUR_MID,2032,0.0498330856263676
RE1,DEMINDBAGFUR_MID,2033,0.0493871544519062
RE1,DEMINDBAGFUR_MID,2034,0.04877170614685
RE1,DEMINDBAGFUR_MID,2035,0.0479470644428167
RE1,DEMINDBAGFUR_MID,2036,0.0468715441063704
RE1,DEMINDBAGFUR_MID,2037,0.0455038334220447
RE1,DEMINDBAGFUR_MID,2038,0.0438062893281929
RE1,DEMINDBAGFUR_MID,2039,0.041749145859894
RE1,DEMINDBAGFUR_MID,2040,0.0393154754312459
RE1,DEMINDBAGFUR_MID,2041,0.0365065156582421
RE1,DEMINDBAGFUR_MID,2042,0.0333466998833188
RE1,DEMINDBAGFUR_MID,2043,0.0298874553558041
RE1,DEMINDBAGFUR_MID,2044,0.026208642758329
RE1,DEMINDBAGFUR_MID,2045,0.022416517112762
RE1,DEMINDBAGFUR_MID,2046,0.0186374082245367
RE1,DEMINDBAGFUR_MID,2047,0.0150070164255919
RE1,DEMINDBAGFUR_MID,2048,0.0116562518906188
RE1,DEMINDBAGFUR_MID,2049,0.0086957036699181
RE1,DEMINDBAGFUR_MID,2050,0.0062017350411098
RE1,DEMINDBAGFUR_MID,2051,0.0042074247232773
RE1,DEMINDBAGFUR_MID,2052,0.0027007937018023
RE1,DEMINDBAGFUR_MID,2053,0.0016310058641129
RE1,DEMINDBAGFUR_MID,2054,0.000921001616696
RE1,DEMINDBAGFURCCS,2022,0.0
RE1,DEMINDBAGFURCCS,2023,0.0
RE1,DEMINDBAGFURCCS,2024,0.0
RE1,DEMINDBAGFURCCS,2025,0.0
RE1,DEMINDBAGFURCCS,2026,0.0
RE1,DEMINDBAGFURCCS,2027,0.0
RE1,DEMINDBAGFURCCS,2028,0.0
RE1,DEMINDBAGFURCCS,2029,0.0
RE1,DEMINDBAGFURCCS,2030,0.0
RE1,DEMINDBAGFURCCS,2031,0.0
RE1,DEMINDBAGFURCCS,2032,0.0
RE1,DEMINDBAGFURCCS,2033,0.0
RE1,DEMINDBAGFURCCS,2034,0.0
RE1,DEMINDBAGFURCCS,2035,0.0
RE1,DEMINDBAGFURCCS,2036,0.0
RE1,DEMINDBAGFURCCS,2037,0.0
RE1,DEMINDBAGFURCCS,2038,0.0
RE1,DEMINDBAGFURCCS,2039,0.0
RE1,DEMINDBAGFURCCS,2040,0.0
RE1,DEMINDBAGFURCCS,2041,0.0
RE1,DEMINDBAGFURCCS,2042,0.0
RE1,DEMINDBAGFURCCS,2043,0.0
RE1,DEMINDBAGFURCCS,2044,0.0
RE1,DEMINDBAGFURCCS,2045,0.0
RE1,DEMINDBAGFURCCS,2046,0.0
RE1,DEMINDBAGFURCCS,2047,0.0
RE1,DEMINDBAGFURCCS,2048,0.0
RE1,DEMINDBAGFURCCS,2049,0.0
RE1,DEMINDBAGFURCCS,2050,0.0
RE1,DEMINDBAGFURCCS,2051,0.0
RE1,DEMINDBAGFURCCS,2052,0.0
RE1,DEMINDBAGFURCCS,2053,0.0
RE1,DEMINDBAGFURCCS,2054,0.0
RE1,DEMINDBGSBOI_HIG,2022,0.0
RE1,DEMINDBGSBOI_HIG,2023,0.0
RE1,DEMINDBGSBOI_HIG,2024,0.0
RE1,DEMINDBGSBOI_HIG,2025,0.0
RE1,DEMINDBGSBOI_HIG,2026,0.0
RE1,DEMINDBGSBOI_HIG,2027,0.0
RE1,DEMINDBGSBOI_HIG,2028,0.0
RE1,DEMINDBGSBOI_HIG,2029,0.0
RE1,DEMINDBGSBOI_HIG,2030,0.0
RE1,DEMINDBGSBOI_HIG,2031,0.0
RE1,DEMINDBGSBOI_HIG,2032,0.0
RE1,DEMINDBGSBOI_HIG,2033,0.0
RE1,DEMINDBGSBOI_HIG,2034,0.0
RE1,DEMINDBGSBOI_HIG,2035,0.0
RE1,DEMINDBGSBOI_HIG,2036,0.0
RE1,DEMINDBGSBOI_HIG,2037,0.0
RE1,DEMINDBGSBOI_HIG,2038,0.0
RE1,DEMINDBGSBOI_HIG,2039,0.0
RE1,DEMINDBGSBOI_HIG,2040,0.0
RE1,DEMINDBGSBOI_HIG,2041,0.0
RE1,DEMINDBGSBOI_HIG,2042,0.0
RE1,DEMINDBGSBOI_HIG,2043,0.0
RE1,DEMINDBGSBOI_HIG,2044,0.0
RE1,DEMINDBGSBOI_HIG,2045,0.0
RE1,DEMINDBGSBOI_HIG,2046,0.0
RE1,DEMINDBGSBOI_HIG,2047,0.0
RE1,DEMINDBGSBOI_HIG,2048,0.0
RE1,DEMINDBGSBOI_HIG,2049,0.0
RE1,DEMINDBGSBOI_HIG,2050,0.0
RE1,DEMINDBGSBOI_HIG,2051,0.0
