REGION,TECHNOLOGY,VALUE
RE1,DEMINDBAGBOI_HIG,0.0
RE1,DEMINDBAGBOI_LOW,0.0
RE1,DEMINDBAGBOI_MID,0.0
RE1,DEMINDBAGFUR_HIG,0.0
RE1,DEMINDBAGFUR_LOW,0.0
RE1,DEMINDBAGFUR_MID,0.0
RE1,DEMINDBAGFURCCS,0.0
RE1,DEMINDBGSBOI_HIG,0.0
RE1,DEMINDBGSBOI_LOW,0.0
RE1,DEMINDBGSBOI_MID,0.0
RE1,DEMINDBGSFUR_HIG,0.0
RE1,DEMINDBGSFUR_LOW,0.0
RE1,DEMINDBGSFUR_MID,0.0
RE1,DEMINDCOABOI_HIG,0.0
RE1,DEMINDCOABOI_LOW,0.0
RE1,DEMINDCOABOI_MID,0.0
RE1,DEMINDCOAFUR_HIG,0.0
RE1,DEMINDCOAFUR_LOW,0.0
RE1,DEMINDCOAFUR_MID,0.0
RE1,DEMINDCOAOTH_LOW,0.0
RE1,MINCOA,0.0
RE1,MINOIL,0.0
RE1,MINNGS,0.0
RE1,MINBAG,0.0
RE1,MINSGC,0.0
RE1,MINOPL,0.0
RE1,MINWOO,0.0
RE1,MINAFR,0.0
RE1,MINWAS,0.0
RE1,MINDAM,0.0
RE1,MINROR,0.0
RE1,MINGEO,0.0
RE1,IMPURN,0.0
RE1,MINSOL,0.0
RE1,MINCSP,0.0
RE1,MINONW,0.0
RE1,MINOFW,0.0
RE1,IMPOIL,0.0
RE1,IMPLNG,0.0
RE1,IMPLPG,0.0
RE1,IMPDSL,0.0
RE1,IMPGSL,0.0
RE1,IMPJET,0.0
RE1,IMPFOL,0.0
RE1,PWRCOA,0.0
RE1,PWRCOACCS,0.0
RE1,PWRNGS_CS,0.0
RE1,PWRNGSCCS,0.0
RE1,PWRAFR,0.0
RE1,PWRBGS,0.0
RE1,PWRHYDDAM,0.0
RE1,PWRHYDROR,0.0
RE1,PWRGEO,0.0
RE1,PWRNUC,0.0
RE1,PWRSOLUPE,0.0
RE1,PWRCSP,0.0
RE1,PWRWNDONS,0.0
RE1,PWRWNDOFS_FIX,0.0
RE1,PWRWNDOFS_FLO,0.0
RE1,UPSREF_BAR,0.0
RE1,UPSALK,0.0
RE1,UPSPEM,0.0
RE1,UPSBGS,0.0
RE1,MINLPG,0.0
RE1,UPSBDL,0.0
RE1,UPSSMR,0.0
RE1,UPSSMRCCS,0.0
RE1,UPSREG,0.0
RE1,UPSBGB,0.0
RE1,UPSBDB,0.0
RE1,PWRSOLRTP,0.0
RE1,PWRSOLRTP_ZNI,0.0
RE1,PWRSTD,0.0
RE1,PWRWAS,0.0
RE1,GRDTYDELC,0.0
RE1,UPSEVC,0.0
RE1,UPSHDGRST,0.0
RE1,GRDNGSDST,0.0
RE1,GRDLPGDST,0.0
RE1,GRDCOADST,0.0
RE1,BBGDST,0.0
RE1,DEMRESWOOCKN_LOW,0.0
RE1,DEMRESNGSCKN_MID,0.0
RE1,DEMRESELCCKN_LOW,0.0
RE1,DEMRESLPGCKN_LOW,0.0
RE1,DEMRESNGSWHT_LOW,0.0
RE1,DEMRESELCWHT_PAS_HIG,0.0
RE1,DEMRESELCREF_LOW,0.0
RE1,DEMRESELCREF_HIG,0.0
RE1,DEMRESELCILU_LOW,0.0
RE1,DEMRESELCILU_HIG,0.0
