REGION,TECHNOLOGY,VALUE
RE1,DEMINDBAGBOI_HIG,99999.0
RE1,DEMINDBAGBOI_LOW,99999.0
RE1,DEMINDBAGBOI_MID,99999.0
RE1,DEMINDBAGFUR_HIG,99999.0
RE1,DEMINDBAGFUR_LOW,99999.0
RE1,DEMINDBAGFUR_MID,99999.0
RE1,DEMINDBAGFURCCS,99999.0
RE1,DEMINDBGSBOI_HIG,99999.0
RE1,DEMINDBGSBOI_LOW,99999.0
RE1,DEMINDBGSBOI_MID,99999.0
RE1,DEMINDBGSFUR_HIG,99999.0
RE1,DEMINDBGSFUR_LOW,99999.0
RE1,DEMINDBGSFUR_MID,99999.0
RE1,DEMINDCOABOI_HIG,99999.0
RE1,DEMINDCOABOI_LOW,99999.0
RE1,DEMINDCOABOI_MID,99999.0
RE1,DEMINDCOAFUR_HIG,99999.0
RE1,DEMINDCOAFUR_LOW,99999.0
RE1,DEMINDCOAFUR_MID,99999.0
RE1,DEMINDCOAOTH_LOW,99999.0
RE1,MINCOA,122958.0
RE1,MINOIL,12352.242
RE1,MINNGS,2503.5150000000003
RE1,MINBAG,99999.0
RE1,MINSGC,99999.0
RE1,MINOPL,99999.0
RE1,MINWOO,99999.0
RE1,MINAFR,99999.0
RE1,MINWAS,99999.0
RE1,MINDAM,99999.0
RE1,MINROR,99999.0
RE1,MINGEO,99999.0
RE1,IMPURN,33880.0
RE1,MINSOL,99999.0
RE1,MINCSP,99999.0
RE1,MINONW,99999.0
RE1,MINOFW,99999.0
RE1,IMPOIL,99999.0
RE1,IMPLNG,99999.0
RE1,IMPLPG,99999.0
RE1,IMPDSL,99999.0
RE1,IMPGSL,99999.0
RE1,IMPJET,99999.0
RE1,IMPFOL,99999.0
RE1,PWRCOA,99999.0
RE1,PWRCOACCS,99999.0
RE1,PWRNGS_CS,99999.0
RE1,PWRNGSCCS,99999.0
RE1,PWRAFR,99999.0
RE1,PWRBGS,99999.0
RE1,PWRHYDDAM,99999.0
RE1,PWRHYDROR,99999.0
RE1,PWRGEO,99999.0
RE1,PWRNUC,99999.0
RE1,PWRSOLUPE,99999.0
RE1,PWRCSP,99999.0
RE1,PWRWNDONS,99999.0
RE1,PWRWNDOFS_FIX,99999.0
RE1,PWRWNDOFS_FLO,99999.0
RE1,UPSREF_BAR,99999.0
RE1,UPSALK,99999.0
RE1,UPSPEM,99999.0
RE1,UPSBGS,99999.0
RE1,MINLPG,151.8471831073772
RE1,UPSBDL,99999.0
RE1,UPSSMR,99999.0
RE1,UPSSMRCCS,99999.0
RE1,UPSREG,99999.0
RE1,UPSBGB,99999.0
RE1,UPSBDB,99999.0
RE1,PWRSOLRTP,99999.0
RE1,PWRSOLRTP_ZNI,99999.0
RE1,PWRSTD,99999.0
RE1,PWRWAS,99999.0
RE1,GRDTYDELC,99999.0
RE1,UPSEVC,99999.0
RE1,UPSHDGRST,99999.0
RE1,GRDNGSDST,99999.0
RE1,GRDLPGDST,99999.0
RE1,GRDCOADST,99999.0
RE1,BBGDST,99999.0
RE1,DEMRESWOOCKN_LOW,99999.0
RE1,DEMRESNGSCKN_MID,99999.0
RE1,DEMRESELCCKN_LOW,99999.0
RE1,DEMRESLPGCKN_LOW,99999.0
RE1,DEMRESNGSWHT_LOW,99999.0
RE1,DEMRESELCWHT_PAS_HIG,99999.0
RE1,DEMRESELCREF_LOW,99999.0
RE1,DEMRESELCREF_HIG,99999.0
RE1,DEMRESELCILU_LOW,99999.0
RE1,DEMRESELCILU_HIG,99999.0
RE1,DEMRESELCAIR_SPL_LOW,99999.0
RE1,DEMRESELCAIR_PAR_LOW,99999.0
RE1,DEMRESELCTV_LOW,99999.0
RE1,DEMRESELCTV_MID,99999.0
RE1,DEMRESELCWSH_LOW,99999.0
RE1,DEMRESELCWSH_HIG,99999.0
RE1,DEMRESELCFAN_LOW,99999.0
RE1,DEMRESELCFAN_HIG,99999.0
RE1,DEMRESELCOTH_LOW,99999.0
RE1,DEMTRAGSLLDV,99999.0
RE1,DEMTRADSLLDV,99999.0
RE1,DEMTRANGSLDV,99999.0
RE1,DEMTRAELCLDV,99999.0
RE1,DEMTRAPHEVLDV,99999.0
RE1,DEMTRAHDGLDV,99999.0
RE1,DEMTRAGSLFWD,99999.0
RE1,DEMTRADSLFWD,99999.0
RE1,DEMTRANGSFWD,99999.0
RE1,DEMTRAELCFWD,99999.0
RE1,DEMTRAPHEVFWD,99999.0
RE1,DEMTRAHDGFWD,99999.0
RE1,DEMTRAGSLMOT,99999.0
RE1,DEMTRAELCMOT,99999.0
RE1,DEMNSEELC,99999.0
RE1,DEMTRAGSLTAX,99999.0
RE1,DEMTRADSLTAX,99999.0
RE1,DEMTRANGSTAX,99999.0
RE1,DEMTRAELCTAX,99999.0
RE1,DEMTRAPHEVTAX,99999.0
RE1,DEMTRAHDGTAX,99999.0
RE1,DEMTRAGSLMIC,99999.0
RE1,DEMTRADSLMIC,99999.0
RE1,DEMTRANGSMIC,99999.0
RE1,DEMTRAELCMIC,99999.0
RE1,DEMTRAHDGMIC,99999.0
RE1,"DEMTRAGSLBUS_IMU
",99999.0
RE1,"DEMTRADSLBUS_IMU
",99999.0
RE1,"DEMTRANGSBUS_IMU
",99999.0
RE1,"DEMTRAELCBUS_IMU
",99999.0
RE1,"DEMTRAHDGBUS_IMU
",99999.0
RE1,DEMTRAGSLTCK_C2P,99999.0
RE1,DEMTRADSLTCK_CSG,99999.0
RE1,DEMTRANGSTCK_CSG,99999.0
RE1,DEMTRAELCTCK_CSG,99999.0
RE1,DEMTRAHDGTCK_CSG,99999.0
RE1,DEMTRAGSLSTT,99999.0
RE1,DEMTRADSLSTT,99999.0
RE1,DEMTRANGSSTT,99999.0
RE1,DEMTRAELCSTT,99999.0
RE1,DEMTRAHDGSTT,99999.0
RE1,DEMTRAJETAVI,99999.0
RE1,DEMTRADSLSHP,99999.0
RE1,DEMTRAELCMET,99999.0
RE1,DEMTERNGSCKN_LOW,99999.0
RE1,DEMTERELCCKN_LOW,99999.0
RE1,DEMTERNGSBOI_LOW,99999.0
RE1,DEMTERELCBOI_LOW,99999.0
RE1,DEMTERELCREF_LOW,99999.0
RE1,DEMTERELCREF_HIG,99999.0
RE1,DEMTERELCILU_LOW,99999.0
RE1,DEMTERELCILU_HIG,99999.0
RE1,DEMTERELCAIR_LOW,99999.0
RE1,DEMTERELCAIR_HIG,99999.0
RE1,DEMTERELCOTH_LOW,99999.0
RE1,DEMCYRGSL,99999.0
RE1,DEMRESELCREF_MID,99999.0
RE1,DEMRESELCWSH_MID,99999.0
RE1,DEMCYRLPG,99999.0
RE1,BACKSTOP 1,99999.0
RE1,BACKSTOP 2,99999.0
RE1,UPSBET,99999.0
RE1,DEMCYRNGS,99999.0
RE1,DEMAGFELC,99999.0
RE1,DEMRESZNIELC_LOW,99999.0
RE1,DEMCYRDSL,99999.0
RE1,DEMRESELCCKN_HIG,99999.0
RE1,DEMRESELCCKN_MID,99999.0
RE1,DEMRESNGSCKN_LOW,99999.0
RE1,DEMRESNGSCKN_HIG,99999.0
RE1,DEMRESWOOCKN_MID,99999.0
RE1,DEMRESZNIELCCKN_LOW,99999.0
RE1,DEMRESZNILPGCKN_MID,99999.0
RE1,DEMRESZNIWOOCKN_LOW,99999.0
RE1,GRDZNIELC,99999.0
RE1,DEMTERBGSCKN_LOW,99999.0
RE1,DEMTERBGSCKN_MID,99999.0
RE1,DEMTERBGSCKN_HIG,99999.0
RE1,DEMTERELCCKN_HIG,99999.0
RE1,DEMTERELCCKN_MID,99999.0
RE1,DEMTERLPGCKN_MID,99999.0
RE1,DEMTERNGSCKN_HIG,99999.0
RE1,DEMTERLPGCKN_LOW,99999.0
RE1,DEMTERLPGCKN_HIG,99999.0
RE1,DEMRESELCFAN_MID,99999.0
RE1,UPSREF_CAR,99999.0
RE1,DEMRESLPGCKN_MID,99999.0
RE1,DEMRESNGSWHT_MID,99999.0
RE1,DEMRESELCWHT_TAN_LOW,99999.0
RE1,DEMRESELCWHT_TAN_MID,99999.0
RE1,DEMRESELCWHT_PAS_LOW,99999.0
RE1,DEMRESELCWHT_PAS_MID,99999.0
RE1,DEMRESELCWHT_DUC_LOW,99999.0
RE1,DEMRESELCWHT_DUC_MID,99999.0
RE1,DEMRESELCTV_CRT,99999.0
RE1,DEMRESELCILU_INC,99999.0
RE1,DEMRESELCILU_LFC,99999.0
RE1,DEMRESELCILU_MID,99999.0
RE1,DEMRESELCOTH_MID,99999.0
RE1,DEMRESELCOTH_HIG,99999.0
RE1,DEMRESELCAIR_SPL_MID,99999.0
RE1,DEMRESELCAIR_PAR_MID,99999.0
RE1,DEMRESWOOCKN_HIG,99999.0
RE1,DEMRESLPGCKN_HIG,99999.0
RE1,DEMCYRELC,99999.0
RE1,DEMAGFWOO,99999.0
RE1,DEMTRAGSLBOT,99999.0
RE1,DEMTRADSLBUS_ART,99999.0
RE1,DEMTRANGSBUS_ART,99999.0
RE1,DEMTRAELCBUS_ART,99999.0
RE1,DEMTRADSLBUS_BIA,99999.0
RE1,DEMTRANGSBUS_BIA,99999.0
RE1,DEMTRAELCBUS_BIA,99999.0
RE1,DEMTRAHEVLDV,99999.0
RE1,DEMTRAHEVFWD,99999.0
RE1,DEMTERELCBOI_MID,99999.0
RE1,DEMTERELCREF_MID,99999.0
RE1,DEMTERELCMPW_LOW,99999.0
RE1,DEMTERELCAIR_MID,99999.0
RE1,DEMTERELCMPW_MID,99999.0
RE1,DEMTERELCILU_CIA,99999.0
RE1,DEMTERELCILU_HAL,99999.0
RE1,DEMTERELCILU_VAP,99999.0
RE1,DEMTERELCILU_LFC,99999.0
RE1,DEMINDELCAIR_HIG,99999.0
RE1,PWRSOLUGE,99999.0
RE1,DEMINDELCAIR_LOW,99999.0
RE1,DEMINDELCAIR_MID,99999.0
RE1,DEMINDELCBOI_HIG,99999.0
RE1,DEMINDELCBOI_LOW,99999.0
RE1,DEMINDELCBOI_MID,99999.0
RE1,DEMINDELCFUR_HIG,99999.0
RE1,DEMINDELCFUR_LOW,99999.0
RE1,DEMINDELCFUR_MID,99999.0
RE1,DEMINDELCILU_HIG,99999.0
RE1,DEMINDELCILU_LOW,99999.0
RE1,DEMINDELCILU_MID,99999.0
RE1,DEMINDELCMPW_HIG,99999.0
RE1,DEMINDELCMPW_LOW,99999.0
RE1,DEMINDELCMPW_MID,99999.0
RE1,DEMINDELCOTH_HIG,99999.0
RE1,DEMINDELCOTH_LOW,99999.0
RE1,DEMINDELCOTH_MID,99999.0
RE1,DEMINDELCREF_HIG,99999.0
RE1,DEMINDELCREF_LOW,99999.0
RE1,DEMINDELCREF_MID,99999.0
RE1,DEMINDHDGBOI_LOW,99999.0
RE1,DEMINDLPGBOI_HIG,99999.0
RE1,DEMINDLPGBOI_LOW,99999.0
RE1,DEMINDLPGBOI_MID,99999.0
RE1,DEMINDLPGFUR_HIG,99999.0
RE1,DEMINDLPGFUR_LOW,99999.0
RE1,DEMINDLPGFUR_MID,99999.0
RE1,DEMRESNGSWHT_HIG,99999.0
RE1,DEMRESELCWHT_TAN_HIG,99999.0
RE1,DEMRESELCWHT_DUC_HIG,99999.0
RE1,DEMRESELCAIR_SPL_HIG,99999.0
RE1,DEMRESELCAIR_PAR_HIG,99999.0
RE1,DEMRESELCTV_HIG,99999.0
RE1,DEMTERELCOTH_MID,99999.0
RE1,DEMTERELCOTH_HIG,99999.0
