Technology,Year,Factor_Type,Job_Type,Unit,Value_Numeric,Value,Source,Default_Source,Default_Source_Note,lifetime_years,lifetime_source_year,construction_time_years,construction_time_source_year,construction_time_source,technology_sheet,assumption_mapping_type,assumption_notes,Method_Applied,Mapped_Rutovitz_Tech,Rutovitz_2030_Factor,Mapped_Catalogue_Tech,Learning_Rate,Projection_Input,Base_Year,Projected_Year,Projected_Value,Interpolation_Method
Battery storage (distributed),2024,Construction,Direct,job-yr/MW,4.44,4.44,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Original,,,,,,2024,2024,4.44,Known datapoint
Battery storage (distributed),2024,Construction&Manufacturing,Direct,job-yr/MW,4.75,4.75,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Derived Construction&Manufacturing,,,,,Construction + Manufacturing; Rutovitz 2025 total manufacturing factor used without local-share scaling,2024,2024,4.75,Known datapoint
Battery storage (distributed),2024,Manufacturing,Direct,job-yr/MW,0.31,0.31,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Original,,,,,,2024,2024,0.31,Known datapoint
Battery storage (distributed),2024,O&M,Direct,job/MW,0.23,0.23,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Original,,,,,,2024,2024,0.23,Known datapoint
Battery storage (distributed),2025,Construction,Direct,job-yr/MW,4.14713825833,4.14713825833,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2025,4.14713825833,Linear interpolation between known datapoints
Battery storage (distributed),2025,Construction&Manufacturing,Direct,job-yr/MW,4.43669070429,4.43669070429,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Linear interpolation,,,Small-scale Lithium-ion,,Construction + Manufacturing; Rutovitz 2025 total manufacturing factor used without local-share scaling,2030,2025,4.43669070429,Linear interpolation between known datapoints
Battery storage (distributed),2025,Manufacturing,Direct,job-yr/MW,0.289552445964,0.289552445964,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2025,0.289552445964,Linear interpolation between known datapoints
Battery storage (distributed),2025,O&M,Direct,job/MW,0.219342365422,0.219342365422,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Linear interpolation,,,Small-scale Lithium-ion,,OPEX 2050/2030=0.8009507801593531,2030,2025,0.219342365422,Linear interpolation between known datapoints
Battery storage (distributed),2026,Construction,Direct,job-yr/MW,3.85427651665,3.85427651665,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2026,3.85427651665,Linear interpolation between known datapoints
Battery storage (distributed),2026,Construction&Manufacturing,Direct,job-yr/MW,4.12338140858,4.12338140858,Rutovitz 2025,Rutovitz 2025,,15.0,2024.0,0.2,2024.0,Colombian Technology Catalogue,14.b. Small-scale Lithium-ion,direct,,Linear interpolation,,,Small-scale Lithium-ion,,Construction + Manufacturing; Rutovitz 2025 total manufacturing factor used without local-share scaling,2030,2026,4.12338140858,Linear interpolation between known datapoints
