ts,scope,name,cpu_percent,cpu_cores,mem_used_bytes,mem_limit_bytes,mem_percent,pids,host_mem_total_bytes,host_mem_available_bytes,host_swap_total_bytes,host_swap_free_bytes,disk_free_bytes
1783703731.5808187,docker,osemosys-api-1,85.56,0.8556,233832448,16739635036,1.4,16,,,,,155922001920
1783703731.5808187,docker,osemosys-db-1,2.85,0.0285,45875200,16739635036,0.27,7,,,,,155922001920
1783703731.5808187,docker,osemosys-redis-1,0.29,0.0029,9600761,16739635036,0.06,6,,,,,155922001920
1783703734.240804,docker,osemosys-api-1,98.5,0.985,235090739,16739635036,1.4,14,,,,,155921887232
1783703734.240804,docker,osemosys-db-1,0.0,0.0,45875200,16739635036,0.27,7,,,,,155921887232
1783703734.240804,docker,osemosys-redis-1,0.26,0.0026,9600761,16739635036,0.06,6,,,,,155921887232
1783703736.2267392,docker,osemosys-api-1,95.37,0.9537,240962764,16739635036,1.44,14,,,,,155922030592
1783703736.2267392,docker,osemosys-db-1,0.01,0.0001,45875200,16739635036,0.27,7,,,,,155922030592
1783703736.2267392,docker,osemosys-redis-1,0.27,0.0027,9604956,16739635036,0.06,6,,,,,155922030592
1783703738.2423582,docker,osemosys-api-1,97.87,0.9787,247044505,16739635036,1.48,14,,,,,155921879040
1783703738.2423582,docker,osemosys-db-1,0.52,0.0052,46032486,16739635036,0.28,7,,,,,155921879040
1783703738.2423582,docker,osemosys-redis-1,0.27,0.0027,9604956,16739635036,0.06,6,,,,,155921879040
1783703740.2226443,docker,osemosys-api-1,99.02,0.9902,254489395,16739635036,1.52,14,,,,,155921879040
1783703740.2226443,docker,osemosys-db-1,0.0,0.0,46032486,16739635036,0.28,7,,,,,155921879040
1783703740.2226443,docker,osemosys-redis-1,0.26,0.0026,9600761,16739635036,0.06,6,,,,,155921879040
1783703742.2059984,docker,osemosys-api-1,102.0,1.02,261200281,16739635036,1.56,14,,,,,155921948672
1783703742.2059984,docker,osemosys-db-1,3.24,0.032400000000000005,46273658,16739635036,0.28,7,,,,,155921948672
1783703742.2059984,docker,osemosys-redis-1,0.26,0.0026,9604956,16739635036,0.06,6,,,,,155921948672
1783703744.248248,docker,osemosys-api-1,99.99,0.9998999999999999,270637465,16739635036,1.62,14,,,,,155921715200
1783703744.248248,docker,osemosys-db-1,0.0,0.0,46210744,16739635036,0.28,7,,,,,155921715200
1783703744.248248,docker,osemosys-redis-1,0.26,0.0026,9600761,16739635036,0.06,6,,,,,155921715200
1783703746.3388474,docker,osemosys-api-1,100.46,1.0046,342569779,16739635036,2.05,14,,,,,155921715200
1783703746.3388474,docker,osemosys-db-1,0.0,0.0,45980057,16739635036,0.27,7,,,,,155921715200
1783703746.3388474,docker,osemosys-redis-1,0.26,0.0026,9600761,16739635036,0.06,6,,,,,155921715200
1783703748.3970265,docker,osemosys-api-1,123.55,1.2355,275985203,16739635036,1.65,14,,,,,155921653760
1783703748.3970265,docker,osemosys-db-1,0.0,0.0,45948600,16739635036,0.27,7,,,,,155921653760
1783703748.3970265,docker,osemosys-redis-1,0.28,0.0028000000000000004,9609150,16739635036,0.06,6,,,,,155921653760
1783703750.402062,docker,osemosys-api-1,99.45,0.9945,275985203,16739635036,1.65,14,,,,,155921653760
1783703750.402062,docker,osemosys-db-1,0.0,0.0,45948600,16739635036,0.27,7,,,,,155921653760
1783703750.402062,docker,osemosys-redis-1,0.27,0.0027,9609150,16739635036,0.06,6,,,,,155921653760
1783703752.4053974,docker,osemosys-api-1,99.05,0.9904999999999999,275146342,16739635036,1.64,14,,,,,155921149952
1783703752.4053974,docker,osemosys-db-1,3.61,0.0361,46588231,16739635036,0.28,7,,,,,155921149952
1783703752.4053974,docker,osemosys-redis-1,0.3,0.003,9613344,16739635036,0.06,6,,,,,155921149952
1783703754.4052422,docker,osemosys-api-1,98.7,0.987,282276659,16739635036,1.69,14,,,,,155920965632
1783703754.4052422,docker,osemosys-db-1,0.0,0.0,46357544,16739635036,0.28,7,,,,,155920965632
1783703754.4052422,docker,osemosys-redis-1,0.29,0.0029,9482272,16739635036,0.06,6,,,,,155920965632
1783703756.421162,docker,osemosys-api-1,99.14,0.9914000000000001,282800947,16739635036,1.69,14,,,,,155923369984
1783703756.421162,docker,osemosys-db-1,0.0,0.0,46368030,16739635036,0.28,7,,,,,155923369984
1783703756.421162,docker,osemosys-redis-1,0.33,0.0033,9744416,16739635036,0.06,6,,,,,155923369984
1783703758.4088912,docker,osemosys-api-1,98.54,0.9854,282800947,16739635036,1.69,14,,,,,155923247104
1783703758.4088912,docker,osemosys-db-1,0.0,0.0,46210744,16739635036,0.28,7,,,,,155923247104
1783703758.4088912,docker,osemosys-redis-1,0.28,0.0028000000000000004,9609150,16739635036,0.06,6,,,,,155923247104
1783703760.4007869,docker,osemosys-api-1,99.27,0.9926999999999999,282905804,16739635036,1.69,14,,,,,155922116608
1783703760.4007869,docker,osemosys-db-1,0.0,0.0,46210744,16739635036,0.28,7,,,,,155922116608
1783703760.4007869,docker,osemosys-redis-1,0.26,0.0026,9609150,16739635036,0.06,6,,,,,155922116608
1783703762.3876765,docker,osemosys-api-1,98.64,0.9864,283639808,16739635036,1.7,14,,,,,155917742080
1783703762.3876765,docker,osemosys-db-1,2.78,0.0278,46189772,16739635036,0.28,7,,,,,155917742080
1783703762.3876765,docker,osemosys-redis-1,0.25,0.0025,9613344,16739635036,0.06,6,,,,,155917742080
1783703764.3807535,docker,osemosys-api-1,99.03,0.9903,284793241,16739635036,1.7,14,,,,,155917381632
1783703764.3807535,docker,osemosys-db-1,0.0,0.0,46179287,16739635036,0.28,7,,,,,155917381632
1783703764.3807535,docker,osemosys-redis-1,0.34,0.0034000000000000002,9609150,16739635036,0.06,6,,,,,155917381632
1783703766.3739965,docker,osemosys-api-1,98.65,0.9865,284793241,16739635036,1.7,14,,,,,155915685888
1783703766.3739965,docker,osemosys-db-1,0.0,0.0,46179287,16739635036,0.28,7,,,,,155915685888
1783703766.3739965,docker,osemosys-redis-1,0.32,0.0032,9478078,16739635036,0.06,6,,,,,155915685888
1783703768.3782022,docker,osemosys-api-1,97.56,0.9756,285841817,16739635036,1.71,14,,,,,155915685888
1783703768.3782022,docker,osemosys-db-1,0.0,0.0,46305116,16739635036,0.28,7,,,,,155915685888
1783703768.3782022,docker,osemosys-redis-1,0.28,0.0028000000000000004,9634316,16739635036,0.06,6,,,,,155915685888
1783703770.3466933,docker,osemosys-api-1,98.04,0.9804,286470963,16739635036,1.71,14,,,,,155914244096
1783703770.3466933,docker,osemosys-db-1,0.0,0.0,46305116,16739635036,0.28,7,,,,,155914244096
1783703770.3466933,docker,osemosys-redis-1,0.25,0.0025,9634316,16739635036,0.06,6,,,,,155914244096
1783703772.332551,docker,osemosys-api-1,100.29,1.0029000000000001,290350694,16739635036,1.74,14,,,,,155914231808
1783703772.332551,docker,osemosys-db-1,2.85,0.0285,46640660,16739635036,0.28,7,,,,,155914231808
1783703772.332551,docker,osemosys-redis-1,0.27,0.0027,9634316,16739635036,0.06,6,,,,,155914231808
1783703774.3701952,docker,osemosys-api-1,101.43,1.0143,303038464,16739635036,1.81,14,,,,,155914428416
1783703774.3701952,docker,osemosys-db-1,0.0,0.0,46640660,16739635036,0.28,7,,,,,155914428416
1783703774.3701952,docker,osemosys-redis-1,0.26,0.0026,9630121,16739635036,0.06,6,,,,,155914428416
1783703776.4036736,docker,osemosys-api-1,99.64,0.9964,303562752,16739635036,1.81,14,,,,,155912663040
1783703776.4036736,docker,osemosys-db-1,0.0,0.0,46630174,16739635036,0.28,7,,,,,155912663040
1783703776.4036736,docker,osemosys-redis-1,0.26,0.0026,9630121,16739635036,0.06,6,,,,,155912663040
1783703778.4469442,docker,osemosys-api-1,123.15,1.2315,305240473,16739635036,1.82,14,,,,,155912663040
1783703778.4469442,docker,osemosys-db-1,0.0,0.0,46294630,16739635036,0.28,7,,,,,155912663040
1783703778.4469442,docker,osemosys-redis-1,0.27,0.0027,9634316,16739635036,0.06,6,,,,,155912663040
1783703780.4335244,docker,osemosys-api-1,98.77,0.9876999999999999,305659904,16739635036,1.83,14,,,,,155912663040
1783703780.4335244,docker,osemosys-db-1,0.0,0.0,46294630,16739635036,0.28,7,,,,,155912663040
1783703780.4335244,docker,osemosys-redis-1,0.27,0.0027,9630121,16739635036,0.06,6,,,,,155912663040
1783703782.4370606,docker,osemosys-api-1,97.17,0.9717,306289049,16739635036,1.83,14,,,,,155912663040
1783703782.4370606,docker,osemosys-db-1,2.94,0.0294,46651146,16739635036,0.28,7,,,,,155912663040
1783703782.4370606,docker,osemosys-redis-1,0.27,0.0027,9630121,16739635036,0.06,6,,,,,155912663040
1783703784.4346905,docker,osemosys-api-1,98.28,0.9828,306813337,16739635036,1.83,14,,,,,155912658944
1783703784.4346905,docker,osemosys-db-1,0.0,0.0,46651146,16739635036,0.28,7,,,,,155912658944
1783703784.4346905,docker,osemosys-redis-1,0.26,0.0026,9630121,16739635036,0.06,6,,,,,155912658944
1783703786.4312086,docker,osemosys-api-1,98.97,0.9897,307652198,16739635036,1.84,14,,,,,155912769536
1783703786.4312086,docker,osemosys-db-1,0.0,0.0,46357544,16739635036,0.28,7,,,,,155912769536
