ts,scope,name,cpu_percent,cpu_cores,mem_used_bytes,mem_limit_bytes,mem_percent,pids,host_mem_total_bytes,host_mem_available_bytes,host_swap_total_bytes,host_swap_free_bytes,disk_free_bytes
1783704319.0675025,docker,osemosys-api-1,117.98,1.1798,292028416,16739635036,1.75,14,,,,,155912859648
1783704319.0675025,docker,osemosys-db-1,2.76,0.0276,118593945,16739635036,0.71,7,,,,,155912859648
1783704319.0675025,docker,osemosys-redis-1,0.28,0.0028000000000000004,9740222,16739635036,0.06,6,,,,,155912859648
1783704320.734853,docker,osemosys-api-1,99.58,0.9958,328938291,16739635036,1.97,14,,,,,155912859648
1783704320.734853,docker,osemosys-db-1,0.0,0.0,118593945,16739635036,0.71,7,,,,,155912859648
1783704320.734853,docker,osemosys-redis-1,0.26,0.0026,9740222,16739635036,0.06,6,,,,,155912859648
1783704322.7309504,docker,osemosys-api-1,98.94,0.9894,335649177,16739635036,2.01,14,,,,,155912851456
1783704322.7309504,docker,osemosys-db-1,0.0,0.0,118593945,16739635036,0.71,7,,,,,155912851456
1783704322.7309504,docker,osemosys-redis-1,0.26,0.0026,9740222,16739635036,0.06,6,,,,,155912851456
1783704324.7281802,docker,osemosys-api-1,98.26,0.9826,341940633,16739635036,2.04,14,,,,,155912851456
1783704324.7281802,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912851456
1783704324.7281802,docker,osemosys-redis-1,0.27,0.0027,9871294,16739635036,0.06,6,,,,,155912851456
1783704326.7147624,docker,osemosys-api-1,98.17,0.9817,348861235,16739635036,2.08,14,,,,,155912724480
1783704326.7147624,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912724480
1783704326.7147624,docker,osemosys-redis-1,0.28,0.0028000000000000004,10158604,16739635036,0.06,6,,,,,155912724480
1783704328.7109675,docker,osemosys-api-1,98.68,0.9868000000000001,355572121,16739635036,2.12,14,,,,,155912724480
1783704328.7109675,docker,osemosys-db-1,2.83,0.028300000000000002,118803660,16739635036,0.71,7,,,,,155912724480
1783704328.7109675,docker,osemosys-redis-1,0.26,0.0026,9740222,16739635036,0.06,6,,,,,155912724480
1783704330.6930633,docker,osemosys-api-1,98.54,0.9854,365533593,16739635036,2.18,14,,,,,155912720384
1783704330.6930633,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912720384
1783704330.6930633,docker,osemosys-redis-1,0.27,0.0027,9740222,16739635036,0.06,6,,,,,155912720384
1783704332.6806552,docker,osemosys-api-1,99.17,0.9917,431803596,16739635036,2.58,14,,,,,155912785920
1783704332.6806552,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912785920
1783704332.6806552,docker,osemosys-redis-1,0.27,0.0027,9871294,16739635036,0.06,6,,,,,155912785920
1783704334.667408,docker,osemosys-api-1,99.13,0.9913,369098752,16739635036,2.21,14,,,,,155912785920
1783704334.667408,docker,osemosys-db-1,0.0,0.0,119013376,16739635036,0.71,7,,,,,155912785920
1783704334.667408,docker,osemosys-redis-1,0.26,0.0026,9740222,16739635036,0.06,6,,,,,155912785920
1783704336.6543639,docker,osemosys-api-1,98.52,0.9852,369098752,16739635036,2.21,14,,,,,155912704000
1783704336.6543639,docker,osemosys-db-1,0.0,0.0,118489088,16739635036,0.71,7,,,,,155912704000
1783704336.6543639,docker,osemosys-redis-1,0.26,0.0026,9695133,16739635036,0.06,6,,,,,155912704000
1783704338.678654,docker,osemosys-api-1,99.03,0.9903,370566758,16739635036,2.21,14,,,,,155912585216
1783704338.678654,docker,osemosys-db-1,3.38,0.0338,118698803,16739635036,0.71,7,,,,,155912585216
1783704338.678654,docker,osemosys-redis-1,0.26,0.0026,9744416,16739635036,0.06,6,,,,,155912585216
1783704340.6875553,docker,osemosys-api-1,100.34,1.0034,377697075,16739635036,2.26,14,,,,,155912462336
1783704340.6875553,docker,osemosys-db-1,0.0,0.0,118593945,16739635036,0.71,7,,,,,155912462336
1783704340.6875553,docker,osemosys-redis-1,0.25,0.0025,9740222,16739635036,0.06,6,,,,,155912462336
1783704342.7155855,docker,osemosys-api-1,100.09,1.0009000000000001,378640793,16739635036,2.26,14,,,,,155912462336
1783704342.7155855,docker,osemosys-db-1,0.0,0.0,118698803,16739635036,0.71,7,,,,,155912462336
1783704342.7155855,docker,osemosys-redis-1,0.26,0.0026,9740222,16739635036,0.06,6,,,,,155912462336
1783704344.7327118,docker,osemosys-api-1,121.92,1.2192,378745651,16739635036,2.26,14,,,,,155912458240
1783704344.7327118,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912458240
1783704344.7327118,docker,osemosys-redis-1,0.25,0.0025,9740222,16739635036,0.06,6,,,,,155912458240
1783704346.7436697,docker,osemosys-api-1,99.23,0.9923000000000001,378640793,16739635036,2.26,14,,,,,155912359936
1783704346.7436697,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912359936
1783704346.7436697,docker,osemosys-redis-1,0.26,0.0026,10120855,16739635036,0.06,6,,,,,155912359936
1783704348.75061,docker,osemosys-api-1,99.02,0.9902,379479654,16739635036,2.27,14,,,,,155912359936
1783704348.75061,docker,osemosys-db-1,3.57,0.035699999999999996,118803660,16739635036,0.71,7,,,,,155912359936
1783704348.75061,docker,osemosys-redis-1,0.26,0.0026,9871294,16739635036,0.06,6,,,,,155912359936
1783704350.7446828,docker,osemosys-api-1,99.18,0.9918,380003942,16739635036,2.27,14,,,,,155912228864
1783704350.7446828,docker,osemosys-db-1,0.0,0.0,118803660,16739635036,0.71,7,,,,,155912228864
1783704350.7446828,docker,osemosys-redis-1,0.26,0.0026,9871294,16739635036,0.06,6,,,,,155912228864
1783704352.741109,docker,osemosys-api-1,99.2,0.992,381052518,16739635036,2.28,14,,,,,155912228864
1783704352.741109,docker,osemosys-db-1,0.0,0.0,118698803,16739635036,0.71,7,,,,,155912228864
1783704352.741109,docker,osemosys-redis-1,0.26,0.0026,9871294,16739635036,0.06,6,,,,,155912228864
1783704354.7306323,docker,osemosys-api-1,98.12,0.9812000000000001,381576806,16739635036,2.28,14,,,,,155912228864
1783704354.7306323,docker,osemosys-db-1,0.0,0.0,118803660,16739635036,0.71,7,,,,,155912228864
1783704354.7306323,docker,osemosys-redis-1,0.26,0.0026,9744416,16739635036,0.06,6,,,,,155912228864
1783704356.7197258,docker,osemosys-api-1,99.1,0.991,384407961,16739635036,2.3,14,,,,,155912228864
1783704356.7197258,docker,osemosys-db-1,0.0,0.0,118384230,16739635036,0.71,7,,,,,155912228864
1783704356.7197258,docker,osemosys-redis-1,0.26,0.0026,10256121,16739635036,0.06,6,,,,,155912228864
1783704358.722551,docker,osemosys-api-1,98.49,0.9849,398249164,16739635036,2.38,14,,,,,155912228864
1783704358.722551,docker,osemosys-db-1,3.36,0.0336,119013376,16739635036,0.71,7,,,,,155912228864
1783704358.722551,docker,osemosys-redis-1,0.28,0.0028000000000000004,9744416,16739635036,0.06,6,,,,,155912228864
1783704360.700059,docker,osemosys-api-1,98.19,0.9819,399507456,16739635036,2.39,14,,,,,155912228864
1783704360.700059,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912228864
1783704360.700059,docker,osemosys-redis-1,0.26,0.0026,9740222,16739635036,0.06,6,,,,,155912228864
1783704362.6830344,docker,osemosys-api-1,98.57,0.9856999999999999,400241459,16739635036,2.39,14,,,,,155912228864
1783704362.6830344,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912228864
1783704362.6830344,docker,osemosys-redis-1,0.28,0.0028000000000000004,9740222,16739635036,0.06,6,,,,,155912228864
1783704364.6686978,docker,osemosys-api-1,99.52,0.9952,400556032,16739635036,2.39,14,,,,,155912228864
1783704364.6686978,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912228864
1783704364.6686978,docker,osemosys-redis-1,0.25,0.0025,9740222,16739635036,0.06,6,,,,,155912228864
1783704366.6601236,docker,osemosys-api-1,99.63,0.9963,401394892,16739635036,2.4,14,,,,,155912228864
1783704366.6601236,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912228864
1783704366.6601236,docker,osemosys-redis-1,0.25,0.0025,10030678,16739635036,0.06,6,,,,,155912228864
1783704368.650909,docker,osemosys-api-1,99.78,0.9978,402024038,16739635036,2.4,14,,,,,155912097792
1783704368.650909,docker,osemosys-db-1,2.74,0.0274,118593945,16739635036,0.71,7,,,,,155912097792
1783704368.650909,docker,osemosys-redis-1,0.25,0.0025,9744416,16739635036,0.06,6,,,,,155912097792
1783704370.6927416,docker,osemosys-api-1,100.43,1.0043,402967756,16739635036,2.41,14,,,,,155912032256
1783704370.6927416,docker,osemosys-db-1,0.0,0.0,118489088,16739635036,0.71,7,,,,,155912032256
1783704370.6927416,docker,osemosys-redis-1,0.26,0.0026,9740222,16739635036,0.06,6,,,,,155912032256
1783704372.7209375,docker,osemosys-api-1,99.69,0.9969,403701760,16739635036,2.41,14,,,,,155912024064
1783704372.7209375,docker,osemosys-db-1,0.0,0.0,118489088,16739635036,0.71,7,,,,,155912024064
1783704372.7209375,docker,osemosys-redis-1,0.26,0.0026,9740222,16739635036,0.06,6,,,,,155912024064
1783704374.7378159,docker,osemosys-api-1,107.8,1.078,415445811,16739635036,2.48,16,,,,,155912024064
1783704374.7378159,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912024064
1783704374.7378159,docker,osemosys-redis-1,0.26,0.0026,9613344,16739635036,0.06,6,,,,,155912024064
1783704376.7502878,docker,osemosys-api-1,99.79,0.9979,405484339,16739635036,2.42,14,,,,,155912011776
1783704376.7502878,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155912011776
1783704376.7502878,docker,osemosys-redis-1,0.26,0.0026,10219421,16739635036,0.06,6,,,,,155912011776
1783704378.7783887,docker,osemosys-api-1,98.76,0.9876,406113484,16739635036,2.43,14,,,,,155912003584
1783704378.7783887,docker,osemosys-db-1,2.69,0.0269,118803660,16739635036,0.71,7,,,,,155912003584
1783704378.7783887,docker,osemosys-redis-1,0.25,0.0025,9744416,16739635036,0.06,6,,,,,155912003584
1783704380.753199,docker,osemosys-api-1,98.91,0.9891,406847488,16739635036,2.43,14,,,,,155911999488
1783704380.753199,docker,osemosys-db-1,0.0,0.0,118593945,16739635036,0.71,7,,,,,155911999488
1783704380.753199,docker,osemosys-redis-1,0.27,0.0027,9744416,16739635036,0.06,6,,,,,155911999488
1783704382.7482681,docker,osemosys-api-1,99.36,0.9936,407686348,16739635036,2.44,14,,,,,155911999488
1783704382.7482681,docker,osemosys-db-1,0.0,0.0,118593945,16739635036,0.71,7,,,,,155911999488
1783704382.7482681,docker,osemosys-redis-1,0.28,0.0028000000000000004,9740222,16739635036,0.06,6,,,,,155911999488
1783704384.7368917,docker,osemosys-api-1,99.1,0.991,408210636,16739635036,2.44,14,,,,,155911995392
1783704384.7368917,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155911995392
1783704384.7368917,docker,osemosys-redis-1,0.26,0.0026,9744416,16739635036,0.06,6,,,,,155911995392
1783704386.7274103,docker,osemosys-api-1,99.3,0.993,432957030,16739635036,2.59,14,,,,,155911892992
1783704386.7274103,docker,osemosys-db-1,0.0,0.0,118279372,16739635036,0.71,7,,,,,155911892992
1783704386.7274103,docker,osemosys-redis-1,0.25,0.0025,9634316,16739635036,0.06,6,,,,,155911892992
1783704388.7347524,docker,osemosys-api-1,97.99,0.9799,374341632,16739635036,2.24,14,,,,,155911892992
1783704388.7347524,docker,osemosys-db-1,2.95,0.029500000000000002,118698803,16739635036,0.71,7,,,,,155911892992
1783704388.7347524,docker,osemosys-redis-1,0.27,0.0027,9871294,16739635036,0.06,6,,,,,155911892992
1783704390.7075922,docker,osemosys-api-1,123.23,1.2323,372978483,16739635036,2.23,14,,,,,155911892992
1783704390.7075922,docker,osemosys-db-1,0.0,0.0,118384230,16739635036,0.71,7,,,,,155911892992
1783704390.7075922,docker,osemosys-redis-1,0.25,0.0025,9740222,16739635036,0.06,6,,,,,155911892992
1783704392.6931746,docker,osemosys-api-1,98.58,0.9858,372978483,16739635036,2.23,14,,,,,155911892992
1783704392.6931746,docker,osemosys-db-1,0.0,0.0,118384230,16739635036,0.71,7,,,,,155911892992
1783704392.6931746,docker,osemosys-redis-1,0.26,0.0026,9740222,16739635036,0.06,6,,,,,155911892992
1783704394.678911,docker,osemosys-api-1,98.07,0.9806999999999999,372349337,16739635036,2.22,14,,,,,155911892992
1783704394.678911,docker,osemosys-db-1,0.0,0.0,118593945,16739635036,0.71,7,,,,,155911892992
