ts,scope,name,cpu_percent,cpu_cores,mem_used_bytes,mem_limit_bytes,mem_percent,pids,host_mem_total_bytes,host_mem_available_bytes,host_swap_total_bytes,host_swap_free_bytes,disk_free_bytes
1783701518.4826913,docker,osemosys-api-1,98.23,0.9823000000000001,323905126,16739635036,1.94,14,,,,,156022128640
1783701518.4826913,docker,osemosys-simulation-worker-1,0.05,0.0005,105486745,16739635036,0.63,2,,,,,156022128640
1783701518.4826913,docker,osemosys-db-1,0.0,0.0,152043520,16739635036,0.91,7,,,,,156022128640
1783701518.4826913,docker,osemosys-redis-1,0.29,0.0029,12519997,16739635036,0.07,6,,,,,156022128640
1783701521.144152,docker,osemosys-api-1,97.94,0.9793999999999999,370461900,16739635036,2.21,14,,,,,156021305344
1783701521.144152,docker,osemosys-simulation-worker-1,0.03,0.0003,105486745,16739635036,0.63,2,,,,,156021305344
1783701521.144152,docker,osemosys-db-1,3.32,0.0332,152043520,16739635036,0.91,7,,,,,156021305344
1783701521.144152,docker,osemosys-redis-1,0.32,0.0032,12519997,16739635036,0.07,6,,,,,156021305344
1783701523.1322038,docker,osemosys-api-1,97.55,0.9754999999999999,413243801,16739635036,2.47,14,,,,,156021141504
1783701523.1322038,docker,osemosys-simulation-worker-1,0.08,0.0008,105486745,16739635036,0.63,2,,,,,156021141504
1783701523.1322038,docker,osemosys-db-1,0.01,0.0001,152148377,16739635036,0.91,7,,,,,156021141504
1783701523.1322038,docker,osemosys-redis-1,0.3,0.003,12656312,16739635036,0.08,6,,,,,156021141504
1783701525.123229,docker,osemosys-api-1,98.62,0.9862000000000001,432223027,16739635036,2.58,14,,,,,156021059584
1783701525.123229,docker,osemosys-simulation-worker-1,0.03,0.0003,105486745,16739635036,0.63,2,,,,,156021059584
1783701525.123229,docker,osemosys-db-1,0.0,0.0,152148377,16739635036,0.91,7,,,,,156021059584
1783701525.123229,docker,osemosys-redis-1,0.29,0.0029,12656312,16739635036,0.08,6,,,,,156021059584
1783701527.1158245,docker,osemosys-api-1,99.35,0.9934999999999999,804677222,16739635036,4.81,14,,,,,156020936704
