ts,scope,name,cpu_percent,cpu_cores,mem_used_bytes,mem_limit_bytes,mem_percent,pids,host_mem_total_bytes,host_mem_available_bytes,host_swap_total_bytes,host_swap_free_bytes,disk_free_bytes
1783701681.6197555,docker,osemosys-api-1,120.62,1.2062,347812659,16739635036,2.08,15,,,,,156011880448
1783701681.6197555,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,156011880448
1783701681.6197555,docker,osemosys-redis-1,0.28,0.0028000000000000004,12540968,16739635036,0.07,6,,,,,156011880448
1783701684.2907481,docker,osemosys-api-1,100.35,1.0034999999999998,359137280,16739635036,2.15,15,,,,,156012691456
1783701684.2907481,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,156012691456
1783701684.2907481,docker,osemosys-redis-1,0.26,0.0026,12666798,16739635036,0.08,6,,,,,156012691456
1783701686.3677711,docker,osemosys-api-1,98.73,0.9873000000000001,411985510,16739635036,2.46,15,,,,,156012687360
1783701686.3677711,docker,osemosys-db-1,2.81,0.0281,156552396,16739635036,0.94,7,,,,,156012687360
1783701686.3677711,docker,osemosys-redis-1,0.25,0.0025,12404654,16739635036,0.07,6,,,,,156012687360
1783701688.3587081,docker,osemosys-api-1,100.17,1.0017,465358028,16739635036,2.78,15,,,,,156041936896
1783701688.3587081,docker,osemosys-db-1,0.0,0.0,156552396,16739635036,0.94,7,,,,,156041936896
1783701688.3587081,docker,osemosys-redis-1,0.26,0.0026,12530483,16739635036,0.07,6,,,,,156041936896
1783701690.3753161,docker,osemosys-api-1,99.31,0.9931,484651827,16739635036,2.9,15,,,,,156042002432
1783701690.3753161,docker,osemosys-db-1,0.0,0.0,156552396,16739635036,0.94,7,,,,,156042002432
1783701690.3753161,docker,osemosys-redis-1,0.26,0.0026,12415139,16739635036,0.07,6,,,,,156042002432
1783701692.3798962,docker,osemosys-api-1,99.34,0.9934000000000001,871156940,16739635036,5.21,15,,,,,156041936896
1783701692.3798962,docker,osemosys-db-1,0.0,0.0,157181542,16739635036,0.94,7,,,,,156041936896
1783701692.3798962,docker,osemosys-redis-1,0.27,0.0027,12677283,16739635036,0.08,6,,,,,156041936896
1783701694.378321,docker,osemosys-api-1,98.53,0.9853000000000001,1065353216,16739635036,6.37,15,,,,,156041936896
1783701694.378321,docker,osemosys-db-1,0.0,0.0,156762112,16739635036,0.94,7,,,,,156041936896
1783701694.378321,docker,osemosys-redis-1,0.26,0.0026,12530483,16739635036,0.07,6,,,,,156041936896
1783701696.3832552,docker,osemosys-api-1,99.4,0.9940000000000001,1095216660,16739635036,6.54,15,,,,,156041396224
1783701696.3832552,docker,osemosys-db-1,2.96,0.0296,157076684,16739635036,0.94,7,,,,,156041396224
1783701696.3832552,docker,osemosys-redis-1,0.25,0.0025,12530483,16739635036,0.07,6,,,,,156041396224
1783701698.3710496,docker,osemosys-api-1,98.71,0.9871,1118838980,16739635036,6.69,15,,,,,156041043968
1783701698.3710496,docker,osemosys-db-1,0.0,0.0,156971827,16739635036,0.94,7,,,,,156041043968
1783701698.3710496,docker,osemosys-redis-1,0.43,0.0043,12603883,16739635036,0.08,6,,,,,156041043968
1783701700.3600814,docker,osemosys-api-1,98.22,0.9822,1143535042,16739635036,6.83,15,,,,,156041019392
1783701700.3600814,docker,osemosys-db-1,0.0,0.0,156552396,16739635036,0.94,7,,,,,156041019392
1783701700.3600814,docker,osemosys-redis-1,0.25,0.0025,12530483,16739635036,0.07,6,,,,,156041019392
1783701702.3467157,docker,osemosys-api-1,98.86,0.9886,1188632199,16739635036,7.1,15,,,,,156040740864
1783701702.3467157,docker,osemosys-db-1,0.0,0.0,156552396,16739635036,0.94,7,,,,,156040740864
1783701702.3467157,docker,osemosys-redis-1,0.26,0.0026,12530483,16739635036,0.07,6,,,,,156040740864
1783701704.3316436,docker,osemosys-api-1,99.08,0.9908,1300301348,16739635036,7.77,15,,,,,156040441856
1783701704.3316436,docker,osemosys-db-1,0.0,0.0,156552396,16739635036,0.94,7,,,,,156040441856
1783701704.3316436,docker,osemosys-redis-1,0.26,0.0026,12530483,16739635036,0.07,6,,,,,156040441856
1783701706.3212237,docker,osemosys-api-1,97.88,0.9788,1356135923,16739635036,8.1,15,,,,,156040400896
1783701706.3212237,docker,osemosys-db-1,3.07,0.030699999999999998,156971827,16739635036,0.94,7,,,,,156040400896
1783701706.3212237,docker,osemosys-redis-1,0.26,0.0026,12530483,16739635036,0.07,6,,,,,156040400896
