ts,scope,name,cpu_percent,cpu_cores,mem_used_bytes,mem_limit_bytes,mem_percent,pids,host_mem_total_bytes,host_mem_available_bytes,host_swap_total_bytes,host_swap_free_bytes,disk_free_bytes
1783702193.185808,docker,osemosys-api-1,119.36,1.1936,379165081,16739635036,2.27,14,,,,,155995521024
1783702193.185808,docker,osemosys-db-1,2.92,0.0292,157076684,16739635036,0.94,7,,,,,155995521024
1783702193.185808,docker,osemosys-redis-1,0.27,0.0027,12572426,16739635036,0.08,6,,,,,155995521024
1783702195.85894,docker,osemosys-api-1,99.71,0.9971,400451174,16739635036,2.39,14,,,,,155993858048
1783702195.85894,docker,osemosys-db-1,0.46,0.0046,156657254,16739635036,0.94,7,,,,,155993858048
1783702195.85894,docker,osemosys-redis-1,0.32,0.0032,12572426,16739635036,0.08,6,,,,,155993858048
1783702197.8775892,docker,osemosys-api-1,99.75,0.9975,452041113,16739635036,2.7,14,,,,,155994583040
1783702197.8775892,docker,osemosys-db-1,2.98,0.0298,156657254,16739635036,0.94,7,,,,,155994583040
1783702197.8775892,docker,osemosys-redis-1,0.27,0.0027,12572426,16739635036,0.08,6,,,,,155994583040
1783702199.8829465,docker,osemosys-api-1,99.64,0.9964,501219328,16739635036,2.99,14,,,,,155994628096
1783702199.8829465,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994628096
1783702199.8829465,docker,osemosys-redis-1,0.26,0.0026,12572426,16739635036,0.08,6,,,,,155994628096
1783702201.881856,docker,osemosys-api-1,99.02,0.9902,519883980,16739635036,3.11,14,,,,,155994832896
1783702201.881856,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994832896
1783702201.881856,docker,osemosys-redis-1,0.27,0.0027,12572426,16739635036,0.08,6,,,,,155994832896
1783702203.8773708,docker,osemosys-api-1,98.15,0.9815,932918067,16739635036,5.57,14,,,,,155994701824
1783702203.8773708,docker,osemosys-db-1,0.0,0.0,157076684,16739635036,0.94,7,,,,,155994701824
1783702203.8773708,docker,osemosys-redis-1,0.27,0.0027,12698255,16739635036,0.08,6,,,,,155994701824
1783702205.869119,docker,osemosys-api-1,98.6,0.986,1102732853,16739635036,6.59,14,,,,,155994681344
1783702205.869119,docker,osemosys-db-1,0.0,0.0,157076684,16739635036,0.94,7,,,,,155994681344
1783702205.869119,docker,osemosys-redis-1,0.26,0.0026,12698255,16739635036,0.08,6,,,,,155994681344
1783702207.8600223,docker,osemosys-api-1,99.07,0.9906999999999999,1131723882,16739635036,6.76,14,,,,,155994673152
1783702207.8600223,docker,osemosys-db-1,3.38,0.0338,157391257,16739635036,0.94,7,,,,,155994673152
1783702207.8600223,docker,osemosys-redis-1,0.26,0.0026,12708741,16739635036,0.08,6,,,,,155994673152
1783702209.847361,docker,osemosys-api-1,97.38,0.9738,1155346202,16739635036,6.91,14,,,,,155994578944
1783702209.847361,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994578944
1783702209.847361,docker,osemosys-redis-1,0.26,0.0026,12572426,16739635036,0.08,6,,,,,155994578944
1783702211.83904,docker,osemosys-api-1,122.02,1.2202,1180042264,16739635036,7.05,14,,,,,155994497024
1783702211.83904,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994497024
1783702211.83904,docker,osemosys-redis-1,0.28,0.0028000000000000004,12572426,16739635036,0.08,6,,,,,155994497024
1783702213.8219178,docker,osemosys-api-1,98.5,0.985,1222991937,16739635036,7.31,14,,,,,155994394624
1783702213.8219178,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994394624
1783702213.8219178,docker,osemosys-redis-1,0.3,0.003,12572426,16739635036,0.08,6,,,,,155994394624
1783702215.807166,docker,osemosys-api-1,98.87,0.9887,1330366119,16739635036,7.95,14,,,,,155994398720
1783702215.807166,docker,osemosys-db-1,0.45,0.0045000000000000005,156762112,16739635036,0.94,7,,,,,155994398720
1783702215.807166,docker,osemosys-redis-1,0.26,0.0026,12834570,16739635036,0.08,6,,,,,155994398720
1783702217.790889,docker,osemosys-api-1,98.5,0.985,1389421920,16739635036,8.3,14,,,,,155994329088
1783702217.790889,docker,osemosys-db-1,3.24,0.032400000000000005,156866969,16739635036,0.94,7,,,,,155994329088
1783702217.790889,docker,osemosys-redis-1,0.27,0.0027,12582912,16739635036,0.08,6,,,,,155994329088
1783702219.7737799,docker,osemosys-api-1,101.87,1.0187,1422707916,16739635036,8.5,14,,,,,155994341376
1783702219.7737799,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994341376
1783702219.7737799,docker,osemosys-redis-1,0.27,0.0027,12457082,16739635036,0.07,6,,,,,155994341376
1783702221.7972522,docker,osemosys-api-1,101.31,1.0131000000000001,1546188226,16739635036,9.24,14,,,,,155994279936
1783702221.7972522,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994279936
1783702221.7972522,docker,osemosys-redis-1,0.26,0.0026,12457082,16739635036,0.07,6,,,,,155994279936
1783702223.8348498,docker,osemosys-api-1,100.19,1.0019,1566589321,16739635036,9.36,14,,,,,155994279936
1783702223.8348498,docker,osemosys-db-1,0.0,0.0,156971827,16739635036,0.94,7,,,,,155994279936
1783702223.8348498,docker,osemosys-redis-1,0.25,0.0025,12708741,16739635036,0.08,6,,,,,155994279936
1783702225.8597188,docker,osemosys-api-1,98.63,0.9863,1602022801,16739635036,9.57,14,,,,,155994267648
1783702225.8597188,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994267648
1783702225.8597188,docker,osemosys-redis-1,0.29,0.0029,12572426,16739635036,0.08,6,,,,,155994267648
1783702227.8773894,docker,osemosys-api-1,97.39,0.9739,1676110987,16739635036,10.02,14,,,,,155994103808
1783702227.8773894,docker,osemosys-db-1,3.3,0.033,156657254,16739635036,0.94,7,,,,,155994103808
1783702227.8773894,docker,osemosys-redis-1,0.26,0.0026,12572426,16739635036,0.08,6,,,,,155994103808
1783702229.8822608,docker,osemosys-api-1,98.18,0.9818000000000001,1724429369,16739635036,10.3,14,,,,,155994103808
1783702229.8822608,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994103808
1783702229.8822608,docker,osemosys-redis-1,0.26,0.0026,12572426,16739635036,0.08,6,,,,,155994103808
1783702231.8821278,docker,osemosys-api-1,98.62,0.9862000000000001,1821066133,16739635036,10.88,14,,,,,155994607616
1783702231.8821278,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994607616
1783702231.8821278,docker,osemosys-redis-1,0.24,0.0024,12446597,16739635036,0.07,6,,,,,155994607616
1783702233.8742218,docker,osemosys-api-1,97.72,0.9772,1940251475,16739635036,11.59,14,,,,,155994550272
1783702233.8742218,docker,osemosys-db-1,0.0,0.0,156866969,16739635036,0.94,7,,,,,155994550272
1783702233.8742218,docker,osemosys-redis-1,0.27,0.0027,12698255,16739635036,0.08,6,,,,,155994550272
1783702235.8663368,docker,osemosys-api-1,99.48,0.9948,2043330691,16739635036,12.21,14,,,,,155994468352
1783702235.8663368,docker,osemosys-db-1,0.0,0.0,156866969,16739635036,0.94,7,,,,,155994468352
1783702235.8663368,docker,osemosys-redis-1,0.28,0.0028000000000000004,12698255,16739635036,0.08,6,,,,,155994468352
1783702237.860174,docker,osemosys-api-1,98.17,0.9817,2147483648,16739635036,12.83,14,,,,,155994595328
1783702237.860174,docker,osemosys-db-1,4.87,0.0487,157181542,16739635036,0.94,7,,,,,155994595328
1783702237.860174,docker,osemosys-redis-1,0.28,0.0028000000000000004,12572426,16739635036,0.08,6,,,,,155994595328
1783702239.8462873,docker,osemosys-api-1,98.92,0.9892,2180769644,16739635036,13.03,14,,,,,155994587136
1783702239.8462873,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994587136
1783702239.8462873,docker,osemosys-redis-1,0.26,0.0026,12572426,16739635036,0.08,6,,,,,155994587136
1783702241.8324451,docker,osemosys-api-1,113.26,1.1326,2206539448,16739635036,13.19,16,,,,,155994652672
1783702241.8324451,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155994652672
1783702241.8324451,docker,osemosys-redis-1,0.31,0.0031,12446597,16739635036,0.07,6,,,,,155994652672
1783702243.8191283,docker,osemosys-api-1,97.52,0.9752,2195802030,16739635036,13.12,14,,,,,155997552640
1783702243.8191283,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155997552640
1783702243.8191283,docker,osemosys-redis-1,0.28,0.0028000000000000004,12572426,16739635036,0.08,6,,,,,155997552640
1783702245.8044977,docker,osemosys-api-1,98.22,0.9822,2195802030,16739635036,13.12,14,,,,,155997372416
1783702245.8044977,docker,osemosys-db-1,0.0,0.0,156657254,16739635036,0.94,7,,,,,155997372416
1783702245.8044977,docker,osemosys-redis-1,0.25,0.0025,12572426,16739635036,0.08,6,,,,,155997372416
1783702247.7877762,docker,osemosys-api-1,98.59,0.9859,2195802030,16739635036,13.12,14,,,,,155997433856
