ts,scope,name,cpu_percent,cpu_cores,mem_used_bytes,mem_limit_bytes,mem_percent,pids,host_mem_total_bytes,host_mem_available_bytes,host_swap_total_bytes,host_swap_free_bytes,disk_free_bytes
1783701040.385112,docker,osemosys-api-1,117.74,1.1774,303248179,16739635036,1.81,14,,,,,156366852096
1783701040.385112,docker,osemosys-simulation-worker-1,0.03,0.0003,105172172,16739635036,0.63,2,,,,,156366852096
1783701040.385112,docker,osemosys-db-1,0.01,0.0001,148478361,16739635036,0.89,7,,,,,156366852096
1783701040.385112,docker,osemosys-redis-1,2.65,0.0265,12509511,16739635036,0.07,6,,,,,156366852096
1783701043.1628718,docker,osemosys-api-1,97.01,0.9701000000000001,329567436,16739635036,1.97,14,,,,,156366848000
1783701043.1628718,docker,osemosys-simulation-worker-1,114.94,1.1494,186331955,16739635036,1.11,7,,,,,156366848000
1783701043.1628718,docker,osemosys-db-1,0.0,0.0,148268646,16739635036,0.89,7,,,,,156366848000
1783701043.1628718,docker,osemosys-redis-1,0.44,0.0044,12624855,16739635036,0.08,6,,,,,156366848000
1783701045.1687987,docker,osemosys-api-1,98.79,0.9879000000000001,342464921,16739635036,2.05,14,,,,,156366782464
1783701045.1687987,docker,osemosys-simulation-worker-1,0.13,0.0013,105277030,16739635036,0.63,2,,,,,156366782464
1783701045.1687987,docker,osemosys-db-1,3.07,0.030699999999999998,148583219,16739635036,0.89,7,,,,,156366782464
1783701045.1687987,docker,osemosys-redis-1,0.31,0.0031,12499025,16739635036,0.07,6,,,,,156366782464
1783701047.1641378,docker,osemosys-api-1,98.85,0.9884999999999999,342464921,16739635036,2.05,14,,,,,156366716928
1783701047.1641378,docker,osemosys-simulation-worker-1,0.05,0.0005,105172172,16739635036,0.63,2,,,,,156366716928
1783701047.1641378,docker,osemosys-db-1,0.01,0.0001,148583219,16739635036,0.89,7,,,,,156366716928
1783701047.1641378,docker,osemosys-redis-1,0.32,0.0032,12499025,16739635036,0.07,6,,,,,156366716928
1783701049.1506712,docker,osemosys-api-1,98.71,0.9871,342464921,16739635036,2.05,14,,,,,156366516224
1783701049.1506712,docker,osemosys-simulation-worker-1,0.03,0.0003,105172172,16739635036,0.63,2,,,,,156366516224
1783701049.1506712,docker,osemosys-db-1,0.0,0.0,148478361,16739635036,0.89,7,,,,,156366516224
1783701049.1506712,docker,osemosys-redis-1,0.27,0.0027,12624855,16739635036,0.08,6,,,,,156366516224
1783701051.1350713,docker,osemosys-api-1,97.54,0.9754,343513497,16739635036,2.05,14,,,,,156366508032
1783701051.1350713,docker,osemosys-simulation-worker-1,0.03,0.0003,105172172,16739635036,0.63,2,,,,,156366508032
1783701051.1350713,docker,osemosys-db-1,0.0,0.0,148478361,16739635036,0.89,7,,,,,156366508032
1783701051.1350713,docker,osemosys-redis-1,2.63,0.0263,12803112,16739635036,0.08,6,,,,,156366508032
1783701053.1211567,docker,osemosys-api-1,123.86,1.2386,343828070,16739635036,2.05,14,,,,,156366557184
1783701053.1211567,docker,osemosys-simulation-worker-1,0.03,0.0003,105172172,16739635036,0.63,2,,,,,156366557184
1783701053.1211567,docker,osemosys-db-1,0.0,0.0,148373504,16739635036,0.89,7,,,,,156366557184
1783701053.1211567,docker,osemosys-redis-1,0.28,0.0028000000000000004,12761169,16739635036,0.08,6,,,,,156366557184
1783701055.1130135,docker,osemosys-api-1,97.39,0.9739,343618355,16739635036,2.05,14,,,,,156366557184
1783701055.1130135,docker,osemosys-simulation-worker-1,0.04,0.0004,105172172,16739635036,0.63,2,,,,,156366557184
1783701055.1130135,docker,osemosys-db-1,2.99,0.029900000000000003,148373504,16739635036,0.89,7,,,,,156366557184
1783701055.1130135,docker,osemosys-redis-1,0.3,0.003,12488540,16739635036,0.07,6,,,,,156366557184
1783701057.103714,docker,osemosys-api-1,101.57,1.0156999999999998,342989209,16739635036,2.05,14,,,,,156366557184
1783701057.103714,docker,osemosys-simulation-worker-1,0.03,0.0003,105172172,16739635036,0.63,2,,,,,156366557184
1783701057.103714,docker,osemosys-db-1,0.0,0.0,148373504,16739635036,0.89,7,,,,,156366557184
1783701057.103714,docker,osemosys-redis-1,0.28,0.0028000000000000004,12488540,16739635036,0.07,6,,,,,156366557184
1783701059.1401913,docker,osemosys-api-1,101.26,1.0126,343094067,16739635036,2.05,14,,,,,156366577664
1783701059.1401913,docker,osemosys-simulation-worker-1,0.04,0.0004,105172172,16739635036,0.63,2,,,,,156366577664
1783701059.1401913,docker,osemosys-db-1,0.0,0.0,148373504,16739635036,0.89,7,,,,,156366577664
1783701059.1401913,docker,osemosys-redis-1,0.28,0.0028000000000000004,12488540,16739635036,0.07,6,,,,,156366577664
1783701061.1770384,docker,osemosys-api-1,99.9,0.9990000000000001,343094067,16739635036,2.05,14,,,,,156366479360
1783701061.1770384,docker,osemosys-simulation-worker-1,0.05,0.0005,105172172,16739635036,0.63,2,,,,,156366479360
1783701061.1770384,docker,osemosys-db-1,0.0,0.0,148478361,16739635036,0.89,7,,,,,156366479360
1783701061.1770384,docker,osemosys-redis-1,2.6,0.026000000000000002,12855541,16739635036,0.08,6,,,,,156366479360
1783701063.2022488,docker,osemosys-api-1,99.82,0.9982,343094067,16739635036,2.05,14,,,,,156366336000
1783701063.2022488,docker,osemosys-simulation-worker-1,0.03,0.0003,105172172,16739635036,0.63,2,,,,,156366336000
1783701063.2022488,docker,osemosys-db-1,0.0,0.0,148373504,16739635036,0.89,7,,,,,156366336000
1783701063.2022488,docker,osemosys-redis-1,0.27,0.0027,12488540,16739635036,0.07,6,,,,,156366336000
1783701065.2308981,docker,osemosys-api-1,97.63,0.9763,343198924,16739635036,2.05,14,,,,,156366635008
1783701065.2308981,docker,osemosys-simulation-worker-1,67.31,0.6731,105381888,16739635036,0.63,2,,,,,156366635008
1783701065.2308981,docker,osemosys-db-1,2.9,0.028999999999999998,148897792,16739635036,0.89,7,,,,,156366635008
1783701065.2308981,docker,osemosys-redis-1,0.47,0.004699999999999999,12624855,16739635036,0.08,6,,,,,156366635008
1783701067.245895,docker,osemosys-api-1,98.55,0.9854999999999999,343198924,16739635036,2.05,14,,,,,156366495744
1783701067.245895,docker,osemosys-simulation-worker-1,0.03,0.0003,105381888,16739635036,0.63,2,,,,,156366495744
1783701067.245895,docker,osemosys-db-1,0.0,0.0,148583219,16739635036,0.89,7,,,,,156366495744
1783701067.245895,docker,osemosys-redis-1,0.28,0.0028000000000000004,12499025,16739635036,0.07,6,,,,,156366495744
1783701069.2455227,docker,osemosys-api-1,99.92,0.9992,343408640,16739635036,2.05,14,,,,,156365946880
1783701069.2455227,docker,osemosys-simulation-worker-1,0.03,0.0003,105381888,16739635036,0.63,2,,,,,156365946880
1783701069.2455227,docker,osemosys-db-1,0.0,0.0,148478361,16739635036,0.89,7,,,,,156365946880
1783701069.2455227,docker,osemosys-redis-1,0.29,0.0029,12624855,16739635036,0.08,6,,,,,156365946880
1783701071.2432694,docker,osemosys-api-1,98.39,0.9839,343303782,16739635036,2.05,14,,,,,156365852672
1783701071.2432694,docker,osemosys-simulation-worker-1,0.05,0.0005,105277030,16739635036,0.63,2,,,,,156365852672
1783701071.2432694,docker,osemosys-db-1,0.0,0.0,148373504,16739635036,0.89,7,,,,,156365852672
1783701071.2432694,docker,osemosys-redis-1,2.87,0.0287,12803112,16739635036,0.08,6,,,,,156365852672
1783701073.2352574,docker,osemosys-api-1,99.32,0.9932,343513497,16739635036,2.05,14,,,,,156365676544
1783701073.2352574,docker,osemosys-simulation-worker-1,0.03,0.0003,105277030,16739635036,0.63,2,,,,,156365676544
1783701073.2352574,docker,osemosys-db-1,0.0,0.0,148373504,16739635036,0.89,7,,,,,156365676544
1783701073.2352574,docker,osemosys-redis-1,0.28,0.0028000000000000004,12488540,16739635036,0.07,6,,,,,156365676544
1783701075.2412324,docker,osemosys-api-1,98.67,0.9867,343513497,16739635036,2.05,14,,,,,156365672448
1783701075.2412324,docker,osemosys-simulation-worker-1,0.05,0.0005,105277030,16739635036,0.63,2,,,,,156365672448
1783701075.2412324,docker,osemosys-db-1,3.68,0.0368,149002649,16739635036,0.89,7,,,,,156365672448
1783701075.2412324,docker,osemosys-redis-1,0.31,0.0031,12488540,16739635036,0.07,6,,,,,156365672448
1783701077.2274902,docker,osemosys-api-1,98.84,0.9884000000000001,343513497,16739635036,2.05,14,,,,,156365541376
1783701077.2274902,docker,osemosys-simulation-worker-1,0.03,0.0003,105277030,16739635036,0.63,2,,,,,156365541376
1783701077.2274902,docker,osemosys-db-1,0.0,0.0,148373504,16739635036,0.89,7,,,,,156365541376
1783701077.2274902,docker,osemosys-redis-1,0.28,0.0028000000000000004,12488540,16739635036,0.07,6,,,,,156365541376
1783701079.2123363,docker,osemosys-api-1,98.69,0.9869,343618355,16739635036,2.05,14,,,,,156365541376
1783701079.2123363,docker,osemosys-simulation-worker-1,0.03,0.0003,105277030,16739635036,0.63,2,,,,,156365541376
1783701079.2123363,docker,osemosys-db-1,0.0,0.0,148373504,16739635036,0.89,7,,,,,156365541376
1783701079.2123363,docker,osemosys-redis-1,0.27,0.0027,12488540,16739635036,0.07,6,,,,,156365541376
1783701081.2000053,docker,osemosys-api-1,98.59,0.9859,343618355,16739635036,2.05,14,,,,,156365541376
