ts,scope,name,cpu_percent,cpu_cores,mem_used_bytes,mem_limit_bytes,mem_percent,pids,host_mem_total_bytes,host_mem_available_bytes,host_swap_total_bytes,host_swap_free_bytes,disk_free_bytes
1783700269.9982567,docker,osemosys-api-1,98.85,0.9884999999999999,326002278,16739635036,1.95,14,,,,,156405411840
1783700269.9982567,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156405411840
1783700269.9982567,docker,osemosys-db-1,0.0,0.0,181718220,16739635036,1.09,7,,,,,156405411840
1783700269.9982567,docker,osemosys-redis-1,0.28,0.0028000000000000004,13935575,16739635036,0.08,6,,,,,156405411840
1783700272.653181,docker,osemosys-api-1,122.81,1.2281,352006963,16739635036,2.1,16,,,,,156405088256
1783700272.653181,docker,osemosys-simulation-worker-1,25.35,0.2535,175531622,16739635036,1.05,4,,,,,156405088256
1783700272.653181,docker,osemosys-db-1,0.0,0.0,181613363,16739635036,1.09,7,,,,,156405088256
1783700272.653181,docker,osemosys-redis-1,2.68,0.0268,13935575,16739635036,0.08,6,,,,,156405088256
1783700274.653034,docker,osemosys-api-1,98.41,0.9841,349909811,16739635036,2.09,14,,,,,156405268480
1783700274.653034,docker,osemosys-simulation-worker-1,14.79,0.1479,160641843,16739635036,0.96,2,,,,,156405268480
1783700274.653034,docker,osemosys-db-1,0.47,0.004699999999999999,181718220,16739635036,1.09,7,,,,,156405268480
1783700274.653034,docker,osemosys-redis-1,0.28,0.0028000000000000004,13935575,16739635036,0.08,6,,,,,156405268480
1783700276.6389956,docker,osemosys-api-1,98.61,0.9861,349909811,16739635036,2.09,14,,,,,156405256192
1783700276.6389956,docker,osemosys-simulation-worker-1,0.05,0.0005,160641843,16739635036,0.96,2,,,,,156405256192
1783700276.6389956,docker,osemosys-db-1,0.01,0.0001,181613363,16739635036,1.09,7,,,,,156405256192
1783700276.6389956,docker,osemosys-redis-1,0.27,0.0027,13935575,16739635036,0.08,6,,,,,156405256192
1783700278.62672,docker,osemosys-api-1,98.68,0.9868000000000001,352740966,16739635036,2.11,14,,,,,156405071872
1783700278.62672,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156405071872
1783700278.62672,docker,osemosys-db-1,2.91,0.0291,182032793,16739635036,1.09,7,,,,,156405071872
1783700278.62672,docker,osemosys-redis-1,0.27,0.0027,13935575,16739635036,0.08,6,,,,,156405071872
1783700280.6084747,docker,osemosys-api-1,102.04,1.0204,352111820,16739635036,2.1,14,,,,,156405067776
1783700280.6084747,docker,osemosys-simulation-worker-1,0.05,0.0005,160641843,16739635036,0.96,2,,,,,156405067776
1783700280.6084747,docker,osemosys-db-1,0.0,0.0,181613363,16739635036,1.09,7,,,,,156405067776
1783700280.6084747,docker,osemosys-redis-1,0.27,0.0027,13935575,16739635036,0.08,6,,,,,156405067776
1783700282.629968,docker,osemosys-api-1,99.58,0.9958,352111820,16739635036,2.1,14,,,,,156404994048
1783700282.629968,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156404994048
1783700282.629968,docker,osemosys-db-1,0.0,0.0,181613363,16739635036,1.09,7,,,,,156404994048
1783700282.629968,docker,osemosys-redis-1,2.53,0.0253,13935575,16739635036,0.08,6,,,,,156404994048
1783700284.6824214,docker,osemosys-api-1,100.72,1.0072,352111820,16739635036,2.1,14,,,,,156404875264
1783700284.6824214,docker,osemosys-simulation-worker-1,0.04,0.0004,160641843,16739635036,0.96,2,,,,,156404875264
1783700284.6824214,docker,osemosys-db-1,0.0,0.0,181823078,16739635036,1.09,7,,,,,156404875264
1783700284.6824214,docker,osemosys-redis-1,0.27,0.0027,14061404,16739635036,0.08,6,,,,,156404875264
1783700286.71458,docker,osemosys-api-1,100.05,1.0005,352636108,16739635036,2.11,14,,,,,156404809728
1783700286.71458,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156404809728
1783700286.71458,docker,osemosys-db-1,0.0,0.0,181613363,16739635036,1.09,7,,,,,156404809728
1783700286.71458,docker,osemosys-redis-1,0.28,0.0028000000000000004,13799260,16739635036,0.08,6,,,,,156404809728
1783700288.731057,docker,osemosys-api-1,115.76,1.1576,352531251,16739635036,2.11,14,,,,,156404654080
1783700288.731057,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156404654080
1783700288.731057,docker,osemosys-db-1,2.8,0.027999999999999997,182242508,16739635036,1.09,7,,,,,156404654080
1783700288.731057,docker,osemosys-redis-1,0.28,0.0028000000000000004,13935575,16739635036,0.08,6,,,,,156404654080
1783700290.7400832,docker,osemosys-api-1,100.45,1.0045,352531251,16739635036,2.11,14,,,,,156404641792
1783700290.7400832,docker,osemosys-simulation-worker-1,0.05,0.0005,160641843,16739635036,0.96,2,,,,,156404641792
1783700290.7400832,docker,osemosys-db-1,0.0,0.0,181927936,16739635036,1.09,7,,,,,156404641792
1783700290.7400832,docker,osemosys-redis-1,0.27,0.0027,13935575,16739635036,0.08,6,,,,,156404641792
1783700292.7395122,docker,osemosys-api-1,97.61,0.9761,352636108,16739635036,2.11,14,,,,,156404637696
1783700292.7395122,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156404637696
1783700292.7395122,docker,osemosys-db-1,0.0,0.0,181613363,16739635036,1.09,7,,,,,156404637696
1783700292.7395122,docker,osemosys-redis-1,2.85,0.0285,13935575,16739635036,0.08,6,,,,,156404637696
1783700294.7445796,docker,osemosys-api-1,99.18,0.9918,352636108,16739635036,2.11,14,,,,,156393865216
1783700294.7445796,docker,osemosys-simulation-worker-1,98.83,0.9883,213490073,16739635036,1.28,4,,,,,156393865216
1783700294.7445796,docker,osemosys-db-1,0.43,0.0043,181823078,16739635036,1.09,7,,,,,156393865216
1783700294.7445796,docker,osemosys-redis-1,0.46,0.0046,13946060,16739635036,0.08,6,,,,,156393865216
1783700296.7401488,docker,osemosys-api-1,99.5,0.995,352845824,16739635036,2.11,14,,,,,156404895744
1783700296.7401488,docker,osemosys-simulation-worker-1,0.03,0.0003,160851558,16739635036,0.96,2,,,,,156404895744
1783700296.7401488,docker,osemosys-db-1,0.0,0.0,181613363,16739635036,1.09,7,,,,,156404895744
1783700296.7401488,docker,osemosys-redis-1,0.27,0.0027,13935575,16739635036,0.08,6,,,,,156404895744
1783700298.7339826,docker,osemosys-api-1,98.17,0.9817,352845824,16739635036,2.11,14,,,,,156404875264
1783700298.7339826,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156404875264
1783700298.7339826,docker,osemosys-db-1,2.89,0.028900000000000002,182242508,16739635036,1.09,7,,,,,156404875264
1783700298.7339826,docker,osemosys-redis-1,0.27,0.0027,13935575,16739635036,0.08,6,,,,,156404875264
1783700300.718027,docker,osemosys-api-1,97.94,0.9793999999999999,352950681,16739635036,2.11,14,,,,,156404633600
1783700300.718027,docker,osemosys-simulation-worker-1,0.05,0.0005,160641843,16739635036,0.96,2,,,,,156404633600
1783700300.718027,docker,osemosys-db-1,0.0,0.0,181718220,16739635036,1.09,7,,,,,156404633600
1783700300.718027,docker,osemosys-redis-1,0.3,0.003,13935575,16739635036,0.08,6,,,,,156404633600
1783700302.704793,docker,osemosys-api-1,99.1,0.991,352845824,16739635036,2.11,14,,,,,156404502528
1783700302.704793,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156404502528
1783700302.704793,docker,osemosys-db-1,0.0,0.0,181613363,16739635036,1.09,7,,,,,156404502528
1783700302.704793,docker,osemosys-redis-1,2.69,0.0269,13935575,16739635036,0.08,6,,,,,156404502528
1783700304.7043276,docker,osemosys-api-1,98.48,0.9848,352950681,16739635036,2.11,14,,,,,156404359168
1783700304.7043276,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156404359168
1783700304.7043276,docker,osemosys-db-1,0.0,0.0,181823078,16739635036,1.09,7,,,,,156404359168
1783700304.7043276,docker,osemosys-redis-1,0.26,0.0026,13935575,16739635036,0.08,6,,,,,156404359168
1783700306.691174,docker,osemosys-api-1,99.02,0.9902,353160396,16739635036,2.11,14,,,,,156404285440
1783700306.691174,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156404285440
1783700306.691174,docker,osemosys-db-1,0.0,0.0,181718220,16739635036,1.09,7,,,,,156404285440
1783700306.691174,docker,osemosys-redis-1,0.26,0.0026,13935575,16739635036,0.08,6,,,,,156404285440
1783700308.6744566,docker,osemosys-api-1,97.69,0.9769,352950681,16739635036,2.11,14,,,,,156404277248
1783700308.6744566,docker,osemosys-simulation-worker-1,0.03,0.0003,160641843,16739635036,0.96,2,,,,,156404277248
1783700308.6744566,docker,osemosys-db-1,2.81,0.0281,181927936,16739635036,1.09,7,,,,,156404277248
1783700308.6744566,docker,osemosys-redis-1,0.27,0.0027,13935575,16739635036,0.08,6,,,,,156404277248
1783700310.6549072,docker,osemosys-api-1,100.91,1.0090999999999999,352950681,16739635036,2.11,14,,,,,156404043776
1783700310.6549072,docker,osemosys-simulation-worker-1,0.05,0.0005,160641843,16739635036,0.96,2,,,,,156404043776
